month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,590815.63,141929.41,1000,1000000.0,25687.64,59.08
2025-02,754080.67,129656.11,886,1000000.0,37704.03,75.41
2025-03,474689.87,126929.55,765,1000000.0,24983.68,47.47
2025-04,486143.95,174185.74,755,1000000.0,25586.52,48.61
2025-05,939061.63,196656.0,955,1000000.0,44717.22,93.91
2025-06,170345.71,173302.74,589,1000000.0,8111.7,17.03
2025-07,597966.7,163114.85,1513,1000000.0,25998.55,59.8
2025-08,560657.82,146784.11,968,1000000.0,29508.31,56.07
2025-09,1118855.95,115474.13,1162,1000000.0,50857.09,111.89
2025-10,730227.34,192318.72,779,1000000.0,34772.73,73.02
2025-11,650383.18,92962.68,816,1000000.0,34230.69,65.04
2025-12,187279.5,112861.77,822,1000000.0,8918.07,18.73
