month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,-765484.97,188564.11,808,1000000.0,-33281.96,-76.55
2025-02,-852654.22,386538.77,643,1000000.0,-42632.71,-85.27
2025-03,-698582.08,169633.53,553,1000000.0,-36767.48,-69.86
2025-04,-1498282.87,369638.93,678,1000000.0,-78856.99,-149.83
2025-05,-1089707.27,301981.24,621,1000000.0,-51890.82,-108.97
2025-06,-506200.05,171612.72,531,1000000.0,-24104.76,-50.62
2025-07,-540903.58,139728.49,595,1000000.0,-23517.55,-54.09
2025-08,-338445.42,135806.96,556,1000000.0,-17812.92,-33.84
2025-09,-423684.15,154580.52,540,1000000.0,-19258.37,-42.37
2025-10,-461862.06,158066.32,437,1000000.0,-21993.43,-46.19
2025-11,-166274.25,124686.98,631,1000000.0,-8751.28,-16.63
2025-12,-504613.55,132828.74,500,1000000.0,-24029.22,-50.46
