#{"t_start": 1773904351.7136307, "env_id": "None"}
r,l,t
-8.601293,1470,58.192022
-8.536409,1470,109.598279
-126.065758,1469,145.136648
-7.154218,1470,274.197243
-10.529143,1470,326.591459
-9.341764,1470,371.387002
-7.106106,1470,496.961237
-13.999487,1467,550.065182
-66.977014,1470,600.689206
-8.638582,1470,636.051527
-9.783137,1470,784.742856
-26.63863,1470,835.952193
-73.225124,1470,872.501687
-10.581051,1470,1002.323496
-11.854314,1470,1055.567752
-8.016857,1470,1097.620119
-9.757078,1470,1136.598552
-7.771179,1470,1294.160369
-8.04971,1470,1336.840064
-165.308521,1470,1375.326899
-8.538603,1470,1527.237927
-8.150938,1467,1571.682703
-7.354281,1470,1606.827581
-7.543139,1470,1758.997381
-339.437812,1470,1806.509591
-7.543139,1470,1841.931432
-559.801054,1470,1892.976053
-7.504421,1470,2045.703437
-7.887989,1470,2081.531761
-388.240358,1470,2131.886028
-9.224686,1470,2276.044119
-7.154218,1470,2313.323858
-4.777263,720,2333.453192
-7.638658,1470,2386.96912
-20.14891,1470,2521.961031
-6.993636,1470,2557.461593
-5.873103,1095,2592.978074
-8.14805,1470,2646.358485
-8.183102,1470,2784.805828
-27.473201,1470,2827.353062
-10.484845,1470,2880.98334
-7.136641,1470,8919.921461
