#{"t_start": 1773904351.970024, "env_id": "None"}
r,l,t
-23.69084,1470,57.935668
-7.870227,1470,109.342449
-13.999487,1467,144.679739
-471.196603,1095,260.257995
-25.908244,1470,313.056549
-7.284846,1110,351.915364
-24.022205,1470,388.903413
-8.1493,1470,523.739766
-11.17866,1470,577.140383
-8.845423,1470,618.470105
-6.993636,1470,757.72261
-6.428538,1470,811.871922
-1037.553172,1470,854.917898
-8.141472,1470,892.097068
-10.74252,1470,1028.935338
-5.571081,1095,1067.294039
-7.78684,1470,1106.110965
-7.883654,1470,1254.133224
-7.479737,1470,1304.987203
-7.389654,1470,1345.278737
-6.005513,1110,1375.256417
-10.603409,1470,1527.165412
-7.145047,1470,1571.838471
-8.04971,1470,1607.037113
-7.24643,1470,1759.028396
-12.058675,1470,1806.503017
-7.573154,1463,1841.451177
-1380.216818,1470,1892.471287
-10.378248,1470,2045.221168
-8.115778,1110,2072.120962
-8.178395,1470,2118.470601
-7.136641,1470,2262.703863
-8.536409,1470,2304.407309
-5.571081,1095,2333.769285
-7.883654,1470,2387.237938
-8.29158,1470,2522.204776
-7.326997,1470,2557.631954
-10.26657,1470,2607.005068
-5.773693,1110,2647.202188
-12.509688,1470,2785.318841
-10.378248,1470,2828.114664
-7.520557,1470,2881.827649
-7.326997,1470,8920.794067
