#{"t_start": 1773904352.0393558, "env_id": "None"}
r,l,t
-11.093934,1470,57.866355
-16.93252,1470,109.272639
-72.548903,1470,144.987796
-8.183102,1470,274.06673
-9.173497,1470,326.442535
-9.749531,1470,371.25293
-8.864331,1470,496.824864
-13.999487,1467,549.910969
-21.418123,1470,600.531933
-6.994123,1470,635.904472
-323.438141,1470,784.604442
-6.261954,1110,825.102713
-9.527339,1470,863.442259
-10.243983,1470,989.090521
-7.326997,1470,1042.297308
-11.45788,1470,1088.461178
-7.771179,1470,1123.579291
-10.262584,1470,1280.88506
-5.509925,1149,1320.365891
-5.571081,1095,1346.694363
-12.058675,1470,1390.366982
-6.332908,1095,1528.756918
-10.308997,1470,1572.939626
-8.538603,1470,1608.433711
-5.250978,1095,1648.196182
-355.67949,1470,1797.797811
-10.892813,1470,1833.66402
-7.479737,1470,1880.141466
-7.883654,1470,2035.583296
-9.360522,1470,2072.898535
73.964323,1149,2107.956615
-7.055262,1470,2161.635716
-228.117575,1470,2297.398112
-7.331556,1470,2337.003829
-10.618402,1470,2390.598884
-5.939352,1095,2511.721237
-6.005513,1110,2542.051487
-7.055262,1470,2583.269608
-10.74252,1470,2636.953735
-6.332908,1095,2769.026871
-10.749024,1470,2804.356726
-9.851799,1470,2857.443607
-8.04971,1470,2911.363145
-11.093934,1470,8950.132519
