#{"t_start": 1770117862.3512049, "env_id": "None"}
r,l,t
-153.926362,345,19.903466
-364.863272,345,37.511587
-462.25432,345,55.408679
-189.434013,345,73.316565
-259.537955,345,90.620401
-330.22306,345,107.81814
-231.121294,345,124.852998
-124.712239,345,141.219109
-238.864107,345,159.699906
-311.619688,345,178.817437
-9.989487,1,179.039206
-154.09489,345,197.258484
-192.707217,345,214.448672
-361.679572,345,232.155457
-110.099248,345,250.596005
-400.293341,345,300.624992
-269.526899,345,319.199019
-133.451061,345,337.497449
-252.306461,345,355.303396
-187.119709,345,372.605883
-188.590251,345,389.757943
-211.182952,345,409.115876
-288.358237,345,427.371204
-123.762607,345,445.520138
-447.194793,345,463.897635
-233.83835,345,481.293712
-190.569464,345,499.597765
-273.748328,345,517.680221
-389.960277,345,535.166202
-292.138898,345,583.91892
-250.960393,345,603.083432
-120.483893,345,621.246856
30.134169,345,640.6134
-226.737565,345,658.638947
-338.356164,345,676.780927
-98.13108,345,694.53514
-356.421335,345,712.270692
-247.691469,345,730.33636
-112.329553,345,748.640844
-548.100734,344,767.157606
-85.594434,345,784.66358
-279.941094,345,801.808314
-207.327192,345,820.267004
-185.211984,345,837.897315
-215.902831,345,887.80922
-255.727507,345,905.219981
-155.970877,345,922.885774
-202.065224,345,940.736192
-260.481069,345,957.966719
-442.086553,345,976.095416
-185.707803,345,993.519157
-239.397591,345,1012.124438
-283.081655,345,1030.168899
-297.795788,345,1046.9711
-149.135478,345,1064.99201
-253.539287,345,1082.358288
-419.839438,345,1099.860687
-346.13692,345,1119.081478
-236.222369,345,1167.065704
-1.010535,345,1185.038589
-269.241471,345,1202.771624
-101.31147,345,1221.126375
-226.740617,345,1239.782021
-125.261812,345,1257.146818
-273.030053,345,1275.078871
-87.758024,345,1293.09975
-92.484823,345,1310.179532
-270.51325,345,1328.936263
-110.56262,345,1349.042944
-355.886907,345,1368.33894
-271.745054,345,1387.666423
-279.880267,345,1406.010239
-230.007634,345,1424.26693
-705.377338,345,1474.749535
-374.780693,345,1493.657167
-493.622203,345,1512.308458
125.591668,345,1531.441471
-437.009478,345,1549.750679
-304.570653,345,1568.416989
