#{"t_start": 1770117861.7775898, "env_id": "None"}
r,l,t
-111.428259,345,20.478243
-296.133675,345,38.126281
-218.641632,345,55.972276
-398.884425,345,73.902668
-312.428091,345,91.191704
-238.822731,345,108.394742
-97.549277,345,125.413144
-211.099992,345,141.799681
-174.976851,345,160.226477
-304.002263,345,179.443454
-161.044301,345,197.6649
-204.634516,345,214.870438
-191.079718,345,232.57609
-294.909862,345,251.000028
-264.035805,345,300.969637
-288.388042,345,319.582631
-430.948242,345,337.909355
-309.50784,345,355.66074
-370.946787,345,372.991947
-276.220178,345,390.17639
-302.912621,345,409.534955
-318.174944,345,427.74185
-793.668308,345,445.936995
-271.814194,345,464.309498
-139.613129,345,481.69863
-392.969393,345,500.01371
-162.646566,345,518.081172
-379.279358,345,535.591267
-278.327956,345,584.322826
26.226711,345,603.483857
-254.981667,345,621.652233
-235.975536,345,641.033614
-200.676754,345,659.005977
-263.066067,345,677.191507
-233.203832,345,694.919607
-239.694555,345,712.68723
-261.938698,345,730.73516
-355.606506,345,749.082132
-356.070445,345,767.727898
-135.606319,345,785.238288
-286.304206,345,802.40967
-218.642355,345,820.842288
-250.617821,345,838.466775
-252.806147,345,888.38172
-110.603723,345,905.801232
-315.41793,345,923.457287
-186.033083,345,941.31491
-355.529553,345,958.544573
-289.361835,345,976.670483
-218.828745,345,994.111878
-297.964406,345,1012.720414
-256.826289,345,1030.744955
-255.178734,345,1047.546043
-171.68743,345,1065.554797
-209.607181,345,1082.929216
-255.662907,345,1100.450463
-113.203664,345,1119.643928
-247.10848,345,1167.555328
-274.373718,345,1185.579063
-312.496261,345,1203.343524
-29.919718,345,1221.735842
-292.267804,345,1240.357713
-169.875947,345,1257.702045
-287.82688,345,1275.654357
-285.347169,345,1293.674984
-243.779481,345,1310.754974
-72.557799,345,1329.506288
-148.301876,345,1349.631206
-418.302733,345,1368.921229
-179.534269,345,1388.240037
-252.699939,345,1406.58384
-449.84729,345,1424.836979
-118.39078,345,1475.334939
-310.872421,345,1494.241636
-174.57387,345,1512.889609
-272.673112,345,1531.99569
68.793149,345,1550.36597
-144.256509,345,1569.00191
-38.273218,345,1588.023066
-395.812714,345,1606.280598
-250.975307,345,1625.19906
-222.579116,345,1642.23849
-263.078518,345,1659.881752
-226.405496,345,1677.721633
-316.043336,345,1696.658564
-191.249781,345,1714.001917
-121.652387,345,1763.261328
-209.560626,345,1783.055147
-241.576862,345,1799.568711
-244.81229,345,1818.971046
-69.556149,345,1836.343576
-303.59702,345,1854.457832
-221.344987,345,1871.561043
-413.046852,345,1889.83674
-252.119127,345,1908.506748
-267.053667,345,1925.945427
-290.923059,345,1945.794277
-265.576983,345,1964.999045
-281.263243,345,1982.833766
-233.836851,345,2001.706762
-419.311327,345,2019.044488
-275.847085,345,2068.698725
-125.317859,345,2087.16236
-286.509254,345,2104.874145
-129.713075,345,2123.681029
-157.199082,345,2143.678324
-180.68137,345,2163.116697
-366.826473,345,2180.686519
-255.4149,345,2198.578892
-434.530958,345,2216.215298
-23.002653,345,2234.915775
-339.227076,345,2253.784147
-153.50464,345,2273.625959
-104.5906,345,2291.705195
-217.907204,345,2308.991328
-255.913548,345,2358.543713
-294.942497,345,2375.333689
-230.080381,345,2394.542754
-164.005376,345,2414.709974
-9.99574,1,2414.803557
-194.979875,345,2433.741219
-197.447389,345,2452.163059
-345.117531,345,2471.746392
-62.42669,345,2490.176876
-349.822412,345,2509.774335
-274.097295,345,2528.893027
-250.582366,345,2547.611521
-312.889839,344,2564.912883
-192.827028,345,2584.715412
-351.151246,345,2602.639984
