month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,-353665.23,256912.65,336,1000000.0,-15376.75,-35.37
2025-02,-1403471.86,452859.59,309,1000000.0,-70173.59,-140.35
2025-03,-975450.37,195125.71,258,1000000.0,-51339.49,-97.55
2025-04,-1348816.76,293993.27,265,1000000.0,-70990.36,-134.88
2025-05,-1688932.71,373760.99,333,1000000.0,-80425.37,-168.89
2025-06,-902347.11,226780.94,307,1000000.0,-42968.91,-90.23
2025-07,-716333.55,192445.97,326,1000000.0,-31144.94,-71.63
2025-08,-520759.64,195071.72,281,1000000.0,-27408.4,-52.08
2025-09,-536300.03,219165.48,333,1000000.0,-24377.27,-53.63
2025-10,-337947.74,192318.72,296,1000000.0,-16092.75,-33.79
2025-11,-291616.94,233913.43,269,1000000.0,-15348.26,-29.16
2025-12,-819047.05,228030.67,325,1000000.0,-39002.24,-81.9
