month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,17947.9,61733.34,7658,421855.57,3589.58,4.25
2025-02,-29753.7,84313.95,5487,157406.42,-9917.9,-18.9
2025-03,197283.42,40203.04,4382,155747.36,49320.86,126.67
2025-04,73414.05,101020.2,6256,170303.99,14682.81,43.11
2025-05,-11392.77,109657.44,7089,187207.87,-2848.19,-6.09
2025-06,-3546.74,104459.27,6571,148998.57,-886.68,-2.38
2025-07,34511.8,64928.01,8969,139656.86,6902.36,24.71
2025-08,-11010.77,73942.55,4566,139613.63,-3670.26,-7.89
2025-09,177894.33,32764.73,5691,142152.97,44473.58,125.14
2025-10,121821.24,30966.54,5318,148453.01,30455.31,82.06
2025-11,53862.63,41077.64,4812,139934.06,17954.21,38.49
2025-12,-28226.13,110799.1,5810,271690.17,-7056.53,-10.39
