episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2025-01-01,-50223.5,144101.88,83356.4,22,1000000.0,-35.9657,-5.0223
2,2025-01-02,127642.52,101892.39,164908.8,22,1000000.0,84.3235,12.7643
3,2025-01-03,24390.13,7941.8,24968.14,29,1000000.0,32.4802,2.439
4,2025-01-06,89636.74,67344.79,120086.82,32,1000000.0,160.6502,8.9637
5,2025-01-07,2229.16,17855.49,7516.54,25,1000000.0,-4.2589,0.2229
6,2025-01-08,47644.37,6425.93,50276.87,30,1000000.0,142.5398,4.7644
7,2025-01-09,63963.39,57184.48,116055.02,46,1000000.0,122.2751,6.3963
8,2025-01-10,1229.13,13158.23,8754.41,4,1000000.0,-24.2178,0.1229
9,2025-01-13,-18473.75,36391.65,0.0,36,1000000.0,-80.915,-1.8474
10,2025-01-14,-14580.61,35845.79,12356.48,47,1000000.0,-42.1084,-1.4581
11,2025-01-15,-1335.45,115081.74,41108.47,68,1000000.0,22.6017,-0.1335
12,2025-01-16,-72328.39,138547.94,7976.9,26,1000000.0,-417.9441,-7.2328
13,2025-01-17,86980.76,9806.39,94887.55,69,1000000.0,67.3309,8.6981
14,2025-01-20,7690.7,56376.1,60415.86,18,1000000.0,19.2758,0.7691
15,2025-01-21,139570.64,52903.46,172685.09,104,1000000.0,298.86,13.9571
16,2025-01-22,1247.64,12102.91,7578.28,8,1000000.0,-11.1615,0.1248
17,2025-01-23,-57791.51,100445.16,14771.38,22,1000000.0,-72.7516,-5.7792
18,2025-01-24,31126.09,93158.99,59687.17,42,1000000.0,33.971,3.1126
19,2025-01-27,-263.72,35660.18,14286.22,36,1000000.0,-41.0394,-0.0264
20,2025-01-28,40959.9,30487.99,55863.98,45,1000000.0,59.9332,4.096
21,2025-01-29,184022.71,135953.2,313301.5,64,1000000.0,229.5836,18.4023
22,2025-01-30,20543.22,91510.09,34345.28,64,1000000.0,-11.0709,2.0543
23,2025-01-31,55456.13,89779.18,72634.3,42,1000000.0,69.3194,5.5456
24,2025-02-01,149594.7,219576.77,348725.14,67,1000000.0,287.0335,14.9595
25,2025-02-03,-20770.52,44417.17,13189.88,80,1000000.0,-84.8866,-2.0771
26,2025-02-04,128603.82,37224.77,146530.13,99,1000000.0,259.7263,12.8604
27,2025-02-05,118491.37,65187.09,124833.78,110,1000000.0,352.7791,11.8491
28,2025-02-06,-1325.24,56051.0,15315.65,32,1000000.0,-52.2563,-0.1325
29,2025-02-07,37995.02,23833.4,50731.91,48,1000000.0,68.3981,3.7995
30,2025-02-10,-17756.46,57821.08,29666.63,18,1000000.0,-39.1225,-1.7756
31,2025-02-11,101890.79,88590.31,180945.06,45,1000000.0,255.1477,10.1891
32,2025-02-12,1947.44,16870.94,14634.27,2,1000000.0,29.7394,0.1947
33,2025-02-13,-27654.73,140694.87,13312.46,40,1000000.0,-83.3226,-2.7655
34,2025-02-14,68075.25,41094.33,89898.41,31,1000000.0,-1.4444,6.8075
35,2025-02-17,45165.47,42208.71,50652.96,40,1000000.0,-74.024,4.5165
36,2025-02-18,3004.87,21762.5,11506.77,33,1000000.0,-55.399,0.3005
37,2025-02-19,28161.85,103547.14,53333.27,88,1000000.0,-17.6298,2.8162
38,2025-02-20,-55198.78,123301.64,44795.56,60,1000000.0,-172.9023,-5.5199
39,2025-02-21,-8234.15,56294.24,40825.22,10,1000000.0,5.6805,-0.8234
40,2025-02-24,-24259.24,26162.09,0.0,6,1000000.0,-178.5798,-2.4259
41,2025-02-25,-23060.1,58293.22,22673.04,111,1000000.0,-188.7457,-2.306
42,2025-02-27,-9064.25,40138.38,13487.87,22,1000000.0,-74.6006,-0.9064
43,2025-02-28,49216.92,64859.25,114076.16,22,1000000.0,-79.4365,4.9217
44,2025-03-03,-25339.44,40965.29,395.2,34,1000000.0,-71.2578,-2.5339
45,2025-03-04,-22646.97,54780.58,1490.34,49,1000000.0,-133.8469,-2.2647
46,2025-03-05,-42896.41,71021.97,23507.29,22,1000000.0,-41.0574,-4.2896
47,2025-03-06,187021.52,53144.45,216671.99,62,1000000.0,248.9567,18.7022
48,2025-03-07,-58372.52,104606.06,27457.72,30,1000000.0,-162.4256,-5.8373
49,2025-03-10,214.38,100923.36,29594.35,73,1000000.0,-156.3076,0.0214
50,2025-03-11,-2003.28,44069.43,11589.24,53,1000000.0,-57.079,-0.2003
51,2025-03-12,30345.82,106280.46,35620.23,107,1000000.0,30.9439,3.0346
52,2025-03-13,-11736.68,69876.5,0.0,61,1000000.0,-89.5479,-1.1737
53,2025-03-17,-50879.16,70913.16,17328.52,108,1000000.0,-219.3944,-5.0879
54,2025-03-18,-20900.94,42346.14,0.0,49,1000000.0,-122.9815,-2.0901
55,2025-03-19,-111487.83,130407.22,1104.25,22,1000000.0,-126.9172,-11.1488
56,2025-03-20,46418.25,50205.17,93740.79,30,1000000.0,126.6046,4.6418
57,2025-03-21,-25142.63,94124.52,57605.49,18,1000000.0,-11.641,-2.5143
58,2025-03-24,37634.38,44740.63,62485.49,22,1000000.0,55.5573,3.7634
59,2025-03-25,4698.93,28833.1,26931.67,60,1000000.0,4.6924,0.4699
60,2025-03-26,57920.8,4761.78,57920.8,19,1000000.0,-4.0207,5.7921
61,2025-03-27,49430.91,111626.96,64451.74,31,1000000.0,-246.5695,4.9431
62,2025-03-28,47089.04,39069.87,62317.12,32,1000000.0,85.4981,4.7089
63,2025-04-01,40644.83,54739.81,65372.65,96,1000000.0,44.939,4.0645
64,2025-04-02,86270.8,40080.57,90680.07,64,1000000.0,-32.2811,8.6271
65,2025-04-03,-77329.13,130155.58,27221.5,22,1000000.0,-99.736,-7.7329
66,2025-04-04,9607.4,56036.84,49852.5,18,1000000.0,-35.5171,0.9607
67,2025-04-07,-72245.77,75361.76,2735.83,2,1000000.0,-252.0277,-7.2246
68,2025-04-08,21486.46,5500.16,22169.01,10,1000000.0,172.9519,2.1486
69,2025-04-09,-49061.56,125762.34,3077.48,22,1000000.0,-142.39,-4.9062
70,2025-04-11,93078.35,70321.79,152644.93,118,1000000.0,482.5878,9.3078
71,2025-04-15,-28224.29,34653.08,1043.05,47,1000000.0,-150.907,-2.8224
72,2025-04-16,55106.12,143573.16,195505.64,98,1000000.0,62.7936,5.5106
73,2025-04-17,199786.07,80624.49,260608.8,32,1000000.0,115.138,19.9786
74,2025-04-21,52398.71,42476.83,68832.23,126,1000000.0,85.0164,5.2399
75,2025-04-22,-37682.61,54658.49,7747.48,75,1000000.0,-92.7381,-3.7683
76,2025-04-23,-27024.12,64041.22,13205.6,28,1000000.0,-7.7157,-2.7024
77,2025-04-24,73118.66,32274.72,74683.46,16,1000000.0,725.4465,7.3119
78,2025-04-25,21692.23,98456.24,101364.21,22,1000000.0,73.3438,2.1692
79,2025-04-28,-15798.33,60752.77,448.97,32,1000000.0,-63.3597,-1.5798
80,2025-04-29,11416.44,21580.62,28766.04,23,1000000.0,56.5903,1.1416
81,2025-04-30,89002.28,139233.7,89002.28,73,1000000.0,-108.0107,8.9002
82,2025-05-02,29299.74,73256.58,29610.05,30,1000000.0,-25.7554,2.93
83,2025-05-05,-99545.15,120750.55,4501.49,40,1000000.0,-217.8761,-9.9545
84,2025-05-06,-31061.77,47335.43,0.0,70,1000000.0,-287.2587,-3.1062
85,2025-05-07,84294.51,30878.8,84638.51,132,1000000.0,6.8899,8.4295
86,2025-05-08,101466.65,87995.23,101466.65,30,1000000.0,-92.5196,10.1467
87,2025-05-09,-45943.39,50234.52,0.0,2,1000000.0,-233.3254,-4.5943
88,2025-05-12,98607.11,63751.79,105427.4,18,1000000.0,11.9945,9.8607
89,2025-05-13,-55148.67,98872.67,15526.86,42,1000000.0,-173.8917,-5.5149
90,2025-05-14,12011.74,40900.39,17037.92,52,1000000.0,-0.2752,1.2012
91,2025-05-15,-128325.99,134339.76,6013.77,22,1000000.0,-44.9929,-12.8326
92,2025-05-16,-34608.67,80729.85,15219.7,18,1000000.0,-210.6403,-3.4609
93,2025-05-19,-21539.76,68594.96,0.0,68,1000000.0,-131.2046,-2.154
94,2025-05-20,49803.45,21977.88,63911.95,39,1000000.0,-61.8562,4.9803
95,2025-05-21,-108472.17,133886.3,557.32,62,1000000.0,-181.9504,-10.8472
96,2025-05-22,55297.04,23456.87,60463.42,42,1000000.0,83.2902,5.5297
97,2025-05-23,-112310.42,127825.63,0.0,24,1000000.0,-104.099,-11.231
98,2025-05-26,52119.92,53145.69,74183.27,111,1000000.0,301.5861,5.212
99,2025-05-27,-10980.33,14523.02,906.78,4,1000000.0,-134.9098,-1.098
100,2025-05-28,31603.92,47500.99,42975.58,70,1000000.0,-73.3484,3.1604
101,2025-05-29,-22718.08,25009.01,582.19,2,1000000.0,-180.4641,-2.2718
102,2025-05-30,15522.67,39317.32,16585.67,35,1000000.0,-137.2257,1.5523
103,2025-06-02,25301.51,54637.77,42975.91,24,1000000.0,-68.8314,2.5302
104,2025-06-03,-21089.22,27807.69,0.0,64,1000000.0,-78.8298,-2.1089
105,2025-06-04,-33792.47,71339.09,5005.04,32,1000000.0,-79.4126,-3.3792
106,2025-06-05,-62976.55,159868.1,61357.63,32,1000000.0,-227.8045,-6.2977
107,2025-06-06,13341.76,57946.15,43523.48,22,1000000.0,35.2049,1.3342
108,2025-06-09,-61133.51,66832.33,0.0,20,1000000.0,-190.5023,-6.1134
109,2025-06-10,-69793.96,71751.35,1957.39,56,1000000.0,-430.7453,-6.9794
110,2025-06-11,-49025.17,99931.11,27758.16,18,1000000.0,-65.0574,-4.9025
111,2025-06-12,111809.21,86143.98,178214.47,18,1000000.0,39.5507,11.1809
112,2025-06-13,-8803.23,92668.08,1731.93,22,1000000.0,-112.9667,-0.8803
113,2025-06-16,-7521.16,53781.32,18306.42,18,1000000.0,-51.0035,-0.7521
114,2025-06-17,-701.73,36503.94,22218.61,14,1000000.0,-132.6966,-0.0702
115,2025-06-18,44546.93,61692.0,63890.31,48,1000000.0,67.867,4.4547
116,2025-06-19,49829.92,144361.8,100016.12,59,1000000.0,20.4029,4.983
117,2025-06-20,68170.49,78535.9,79589.5,40,1000000.0,-26.4596,6.817
118,2025-06-23,-21086.01,64217.91,43131.89,30,1000000.0,-53.8075,-2.1086
119,2025-06-24,105696.47,28123.45,109893.25,50,1000000.0,207.0593,10.5696
120,2025-06-25,3012.62,99979.18,87631.37,44,1000000.0,-248.2504,0.3013
121,2025-06-26,52911.12,148993.66,95475.68,44,1000000.0,30.5308,5.2911
122,2025-06-27,-37389.55,87925.16,6054.42,18,1000000.0,-109.7669,-3.739
123,2025-06-30,27181.55,36330.79,63512.35,28,1000000.0,529.068,2.7182
124,2025-07-01,-10307.7,31259.72,14343.36,30,1000000.0,-51.6929,-1.0308
125,2025-07-02,-22359.44,111837.64,24993.0,26,1000000.0,-77.7554,-2.2359
126,2025-07-03,-34522.3,169761.49,6942.22,42,1000000.0,-100.0145,-3.4522
127,2025-07-04,13748.2,86242.45,99990.65,88,1000000.0,-68.3962,1.3748
128,2025-07-07,-55954.94,102535.89,16659.15,54,1000000.0,-165.2616,-5.5955
129,2025-07-08,-44666.55,47502.9,1710.46,9,1000000.0,-115.4752,-4.4667
130,2025-07-09,154691.18,89459.41,156091.63,68,1000000.0,34.2454,15.4691
131,2025-07-10,69170.72,128256.15,76160.1,184,1000000.0,-263.5237,6.9171
132,2025-07-11,-30993.32,123701.53,82848.85,22,1000000.0,-0.2785,-3.0993
133,2025-07-14,-8689.96,45956.0,25679.85,15,1000000.0,-73.9756,-0.869
134,2025-07-15,56694.65,32838.22,60921.93,101,1000000.0,281.6099,5.6695
135,2025-07-16,-54571.65,122494.5,47949.58,18,1000000.0,-66.3385,-5.4572
136,2025-07-17,110578.2,52666.01,121193.85,90,1000000.0,117.214,11.0578
137,2025-07-18,-46689.39,160446.79,90529.87,18,1000000.0,-41.1036,-4.6689
138,2025-07-21,-26672.7,85773.68,1494.35,18,1000000.0,-97.4403,-2.6673
139,2025-07-22,12902.12,18646.39,19678.27,38,1000000.0,-53.0498,1.2902
140,2025-07-23,-14403.72,105494.55,31305.59,22,1000000.0,-46.4467,-1.4404
141,2025-07-24,9695.29,102262.0,71422.43,76,1000000.0,-9.6894,0.9695
142,2025-07-25,-42561.8,113763.38,64074.79,18,1000000.0,-124.8903,-4.2562
143,2025-07-28,12732.53,16512.16,18994.09,38,1000000.0,10.5105,1.2733
144,2025-07-29,46347.58,11673.12,46352.27,33,1000000.0,6.3994,4.6348
145,2025-07-30,95363.66,111321.02,166513.53,224,1000000.0,139.4079,9.5364
146,2025-07-31,156836.03,64627.71,163426.2,62,1000000.0,15.7745,15.6836
147,2025-08-01,55639.0,33251.42,59611.68,48,1000000.0,112.8074,5.5639
148,2025-08-04,16265.63,51514.73,59819.87,102,1000000.0,202.3594,1.6266
149,2025-08-05,-28479.74,53096.34,15376.73,27,1000000.0,-54.829,-2.848
150,2025-08-06,-20050.97,137274.98,87428.28,24,1000000.0,14.0614,-2.0051
151,2025-08-07,20781.5,11194.39,25466.81,34,1000000.0,57.6541,2.0781
152,2025-08-08,27991.55,59341.37,27991.55,30,1000000.0,-52.1175,2.7992
153,2025-08-11,40181.5,46982.13,53907.59,36,1000000.0,-43.7949,4.0181
154,2025-08-12,5045.47,31244.55,11816.23,49,1000000.0,-45.978,0.5045
155,2025-08-13,9244.66,77211.87,72578.37,58,1000000.0,14.199,0.9245
156,2025-08-14,-103687.8,133538.44,29850.63,18,1000000.0,-275.7351,-10.3688
157,2025-08-18,-3370.57,51336.91,872.42,15,1000000.0,-121.3466,-0.3371
158,2025-08-19,24694.24,44700.45,39124.81,127,1000000.0,80.4854,2.4694
159,2025-08-20,-12412.17,72951.34,34060.59,18,1000000.0,-38.0648,-1.2412
160,2025-08-21,-14995.5,88717.84,14798.91,42,1000000.0,-63.3987,-1.4996
161,2025-08-22,15443.66,51280.89,32599.49,21,1000000.0,-67.0391,1.5444
162,2025-08-25,-35557.78,59529.06,16336.98,28,1000000.0,-101.7,-3.5558
163,2025-08-26,-9843.62,26291.93,7942.13,78,1000000.0,-138.5664,-0.9844
164,2025-08-28,48041.64,146784.11,48890.22,44,1000000.0,-46.1141,4.8042
165,2025-08-29,50214.53,76236.73,89780.36,41,1000000.0,-56.8495,5.0215
166,2025-09-01,-3462.27,60643.25,8047.44,18,1000000.0,-102.2087,-0.3462
167,2025-09-02,34614.97,41988.06,72406.86,44,1000000.0,-21.7237,3.4615
168,2025-09-03,64169.55,78696.55,66272.3,162,1000000.0,-12.3347,6.417
169,2025-09-04,-7069.41,8880.38,485.73,2,1000000.0,-90.0948,-0.7069
170,2025-09-05,31881.36,41355.6,72406.29,32,1000000.0,7.931,3.1881
171,2025-09-08,44093.42,35636.16,67362.31,77,1000000.0,-28.9687,4.4093
172,2025-09-09,-26530.96,42695.87,1324.61,20,1000000.0,-119.7171,-2.6531
173,2025-09-10,109238.78,79770.37,113943.32,130,1000000.0,13.5495,10.9239
174,2025-09-11,93533.97,60279.86,100451.48,99,1000000.0,-14.6607,9.3534
175,2025-09-12,10247.4,46758.56,34608.61,40,1000000.0,20.899,1.0247
176,2025-09-15,24681.05,38754.38,57945.97,39,1000000.0,4.1648,2.4681
177,2025-09-16,29429.65,29574.79,40762.48,45,1000000.0,11.889,2.943
178,2025-09-17,-73488.88,121914.31,34568.63,34,1000000.0,-122.5012,-7.3489
179,2025-09-18,40683.58,93005.33,108822.23,116,1000000.0,-126.156,4.0684
180,2025-09-19,-16862.78,72339.75,679.54,15,1000000.0,-112.4106,-1.6863
181,2025-09-22,63422.07,52191.09,70204.91,70,1000000.0,-5.6905,6.3422
182,2025-09-23,-473.02,49348.37,18796.86,67,1000000.0,-131.3349,-0.0473
183,2025-09-24,89843.74,44715.93,114742.97,104,1000000.0,-6.5898,8.9844
184,2025-09-25,44972.82,80131.5,65970.03,20,1000000.0,-66.5408,4.4973
185,2025-09-26,-9769.67,10757.06,214.62,4,1000000.0,-94.1574,-0.977
186,2025-09-29,31359.25,70092.43,32011.82,57,1000000.0,-47.8892,3.1359
187,2025-09-30,-19611.51,50754.55,8428.07,20,1000000.0,-121.2113,-1.9612
188,2025-10-01,106151.12,97227.64,154596.18,30,1000000.0,34.8799,10.6151
189,2025-10-03,-51266.37,89319.11,2043.92,60,1000000.0,-267.1809,-5.1266
190,2025-10-06,28136.54,44343.11,45882.82,18,1000000.0,-30.1995,2.8137
191,2025-10-07,-45994.25,56935.45,9907.16,76,1000000.0,-88.2989,-4.5994
192,2025-10-08,-44002.1,192318.72,143608.68,40,1000000.0,-40.2584,-4.4002
193,2025-10-09,29115.85,96041.85,41262.64,30,1000000.0,-41.2506,2.9116
194,2025-10-10,-6341.7,137294.01,72598.56,22,1000000.0,-78.9382,-0.6342
195,2025-10-13,-48852.31,51504.79,2132.45,124,1000000.0,-270.4904,-4.8852
196,2025-10-14,13815.84,94582.65,66378.24,22,1000000.0,67.8766,1.3816
197,2025-10-15,78644.09,95671.33,89258.58,110,1000000.0,16.1331,7.8644
198,2025-10-16,35881.96,106676.74,83909.43,20,1000000.0,-79.0254,3.5882
199,2025-10-17,28184.77,90614.61,85203.45,42,1000000.0,28.1033,2.8185
200,2025-10-20,18207.38,9671.66,27171.6,12,1000000.0,62.8213,1.8207
201,2025-10-21,26460.65,12859.68,26483.14,13,1000000.0,-8.809,2.6461
202,2025-10-23,61815.39,68055.89,70565.81,151,1000000.0,74.4218,6.1815
203,2025-10-24,3460.35,6256.13,9059.07,13,1000000.0,-55.3193,0.346
204,2025-10-27,-9757.54,54210.32,20989.34,18,1000000.0,-50.5582,-0.9758
205,2025-10-28,-23013.32,85798.69,61511.4,33,1000000.0,64.6339,-2.3013
206,2025-10-29,-37690.53,97230.79,14123.99,22,1000000.0,-93.9159,-3.7691
207,2025-10-30,-6301.44,24735.61,12464.6,20,1000000.0,-23.2694,-0.6301
208,2025-10-31,45672.09,27106.54,49038.99,22,1000000.0,-26.9808,4.5672
209,2025-11-03,-41821.49,62288.65,0.0,24,1000000.0,-145.0399,-4.1821
210,2025-11-04,28940.35,28427.14,38744.27,40,1000000.0,-83.8908,2.894
211,2025-11-06,-1449.36,8647.24,1510.81,2,1000000.0,-21.1574,-0.1449
212,2025-11-07,17622.12,92962.68,56609.7,18,1000000.0,-97.9356,1.7622
213,2025-11-10,-32493.11,44350.03,0.0,46,1000000.0,-153.8425,-3.2493
214,2025-11-11,86393.0,18782.29,86785.54,41,1000000.0,43.9793,8.6393
215,2025-11-12,-16394.53,64743.93,48349.39,18,1000000.0,20.1836,-1.6395
216,2025-11-13,92580.69,62036.48,96913.34,52,1000000.0,27.0936,9.2581
217,2025-11-14,94719.65,52199.27,95215.87,74,1000000.0,-21.8316,9.472
218,2025-11-17,-33452.99,55702.77,18256.73,72,1000000.0,-251.6222,-3.3453
219,2025-11-18,472.83,72043.78,13857.38,19,1000000.0,-149.9166,0.0473
220,2025-11-19,-44980.46,93747.22,1969.21,18,1000000.0,-90.195,-4.498
221,2025-11-20,102507.99,71320.45,107601.55,20,1000000.0,-77.3857,10.2508
222,2025-11-21,-36047.85,111225.45,6700.43,33,1000000.0,-136.3085,-3.6048
223,2025-11-24,37528.97,45879.13,40655.01,59,1000000.0,-112.9183,3.7529
224,2025-11-25,54165.44,41726.96,60731.33,15,1000000.0,-67.8584,5.4165
225,2025-11-26,28039.98,98398.51,52232.52,18,1000000.0,-32.4703,2.804
226,2025-11-27,39777.39,68341.62,82429.83,100,1000000.0,-16.1427,3.9777
227,2025-11-28,-107140.86,110539.36,2317.2,18,1000000.0,-149.8802,-10.7141
228,2025-12-01,41649.75,37206.06,60392.06,18,1000000.0,52.2735,4.165
229,2025-12-02,20821.62,28345.98,43386.99,44,1000000.0,192.1722,2.0822
230,2025-12-03,-74746.91,101941.21,1990.3,78,1000000.0,-145.5565,-7.4747
231,2025-12-04,-46402.56,92509.23,3143.96,50,1000000.0,-102.8903,-4.6403
232,2025-12-05,56154.2,113059.2,115326.92,54,1000000.0,42.334,5.6154
233,2025-12-08,-19723.0,40253.56,4906.47,20,1000000.0,-139.7659,-1.9723
234,2025-12-09,-65205.75,79090.15,12821.93,53,1000000.0,-124.542,-6.5206
235,2025-12-10,16233.8,40782.49,18040.53,38,1000000.0,-3.6345,1.6234
236,2025-12-11,52108.67,74921.01,65789.73,62,1000000.0,10.8261,5.2109
237,2025-12-12,-53356.97,92659.53,11321.93,58,1000000.0,-254.8111,-5.3357
238,2025-12-15,-12471.33,52081.27,4477.92,18,1000000.0,-55.9824,-1.2471
239,2025-12-16,18996.77,25784.22,31119.49,91,1000000.0,-1.049,1.8997
240,2025-12-17,-64695.33,111488.09,46792.76,62,1000000.0,-103.1624,-6.4695
241,2025-12-18,-7420.06,94922.59,13650.62,50,1000000.0,-85.1074,-0.742
242,2025-12-19,-24477.14,30853.33,2869.24,55,1000000.0,-99.4618,-2.4477
243,2025-12-22,-11263.14,46354.68,0.0,18,1000000.0,-283.6459,-1.1263
244,2025-12-23,-84.08,44884.93,29555.83,31,1000000.0,-21.888,-0.0084
245,2025-12-24,15033.61,112861.77,23956.6,59,1000000.0,-122.1117,1.5034
246,2025-12-26,-37290.68,80010.47,4245.83,63,1000000.0,-149.1179,-3.7291
247,2025-12-29,49892.16,25314.93,60454.47,18,1000000.0,99.6334,4.9892
248,2025-12-30,-50056.72,71797.53,10327.81,81,1000000.0,-192.7001,-5.0057
