#{"t_start": 1774374591.6619277, "env_id": "None"}
r,l,t
-165.231878,1470,28.128263
-187.661705,1095,44.593305
-168.441164,1470,68.466527
-206.083317,1470,142.339648
261.20477,1470,166.539612
114.995413,1095,184.630117
76.035601,1470,209.008762
-166.316955,1470,277.766987
-197.919775,1470,302.436607
368.839806,1095,321.416551
168.9961,1470,395.617553
457.232285,1470,420.37101
-52.869985,1470,445.431739
26.789691,1470,470.758021
-225.502567,1470,543.52837
308.775511,1095,562.208296
192.166663,1470,587.740037
-186.991199,1470,612.685416
-224.82689,1470,682.33037
-250.822133,1469,707.920437
97.318929,1470,733.335767
-140.771546,1470,808.280998
40.615435,1470,833.65235
80.998292,1470,858.708806
213.745432,1095,877.033055
-169.982519,1470,949.877047
-387.071709,1470,975.312364
215.607861,1470,1000.716494
202.530183,1470,1073.32496
-10.758498,1470,1099.051584
-451.455726,1470,1124.438305
203.340152,1470,1194.04274
97.400488,1470,1219.618449
103.108753,1470,1244.789397
-261.270158,1470,1270.099943
16.694241,1470,1343.490247
-52.779099,1470,1368.812573
544.409801,1470,1394.302191
85.485627,1470,1461.820693
315.423446,1470,1487.437588
134.568278,1469,1512.998922
-140.721942,1470,1538.550237
-17.669239,1470,1611.266548
-209.783835,1470,1636.458807
-235.174092,1470,1661.946304
-44.800404,1470,1734.876513
-14.056361,1470,1760.312671
239.481769,1470,1785.795707
86.762159,1470,1860.911013
-208.034646,1470,1886.741477
481.088477,1470,1912.866828
-103.267402,1470,1938.056302
52.494801,1470,2008.313128
-67.663093,1110,2027.619565
40.280696,1470,2053.042058
-265.178015,1470,2128.756733
-243.583391,1470,2154.003437
-382.723544,1470,2179.384488
-48.371001,1470,2204.759394
937.156601,1470,2274.515928
1665.307247,1470,2300.198909
411.779274,1470,2325.478837
-87.439968,1470,2400.503654
77.307659,1470,2425.723105
-307.633431,1470,2450.773166
1865.656063,1470,2475.762118
231.949255,1470,2543.005621
-231.030012,1470,2568.214112
219.088244,1470,2593.434069
-114.091197,1110,2662.482723
-264.044064,1470,2687.996691
-165.523119,1470,2713.419688
-35.209087,1470,2738.561645
41.002771,1095,2806.968615
92.29955,1470,2832.369666
47.855595,1095,2851.650067
90.582458,1470,2877.210093
-141.520353,1110,2946.068641
7.862905,1469,2971.65723
-228.538453,1470,2997.055461
292.488001,1470,3071.915595
-82.951862,1470,3097.134036
194.13143,1470,3122.668515
51.338662,780,3137.273261
-296.639968,1095,3201.024431
21.604048,1470,3226.476722
50.552411,1095,3245.587255
-205.768559,1110,3264.716299
-60.295129,1095,3283.961781
197.109911,735,3345.798716
-243.440424,1470,3371.204945
318.322836,1470,3396.873667
150.15837,1470,3469.064776
120.444908,1470,3494.684432
-169.982519,1470,3520.36768
-194.50932,1470,3545.376297
-346.171857,1470,3617.439846
-231.300759,1470,3642.739859
287.249529,1470,3668.443666
-236.444025,1470,3743.176491
-331.488381,1470,3768.250324
-242.584564,1470,3793.849481
407.4557,1470,3819.22064
-285.334486,1470,3893.72343
-300.437966,1470,3919.08862
-180.948972,1470,3944.778781
-2.350047,1470,4016.89595
-223.149763,1470,4042.644606
-82.62562,1095,4061.777957
-49.651611,1470,4087.290956
-165.144794,1470,4162.235891
-81.573978,780,4175.824739
-190.729035,1095,4195.180394
-207.122808,1470,4220.798755
-58.491595,1470,4291.351983
-46.956104,720,4304.015725
-613.07169,1470,4329.587799
-349.802875,1470,4355.446212
46.235999,1470,4428.02731
-209.834844,1470,4453.310331
-278.301644,1470,4478.782142
-68.866694,1470,4553.671841
-260.247036,1470,4579.470778
-242.158368,1470,4605.257623
9.872478,1470,4630.560704
8.689443,1470,4698.375108
-123.822436,1470,4723.706855
-292.128597,1470,4749.305149
-94.888393,1095,4813.560169
-280.631103,1470,4838.831799
-177.067424,1470,4864.280961
-192.781568,1470,4889.603718
-247.374709,1470,4960.55493
-140.46025,1470,4985.91723
53.354139,1470,5011.909281
279.60555,1470,5084.644756
191.674055,1095,5103.903279
-71.169515,1470,5129.559868
25.541221,1470,5154.816282
-90.402648,1470,5227.562496
-79.735283,1470,5252.938172
-96.271859,1110,5272.075259
-8.112481,780,5286.112025
-123.822436,1470,5358.704682
-28.779788,780,5371.448119
698.791428,1469,5396.948831
-89.912191,1470,5422.378847
-243.865193,1470,5497.430912
-123.822436,1470,5522.970395
236.250825,1470,5548.46298
141.114195,1470,5621.048283
-86.69894,1470,5646.256499
-366.233652,1470,5671.711196
150.200506,1470,5747.457669
-102.575676,1470,5773.213417
-136.665697,1110,5792.718078
36.210082,1470,5818.608446
367.012138,1469,5893.374339
2.99599,1095,5912.38488
-152.19931,1470,5937.691657
-64.991051,1095,5956.195333
-300.371952,1470,6031.1247
-220.674926,1470,6056.552546
100.243158,1470,6082.057185
-274.417043,1095,6101.442139
-630.786691,1470,6176.670004
59.208264,1470,6202.231808
-283.58887,1470,6227.628189
-3.183314,1470,6300.708631
-110.430215,1470,6326.372413
177.381892,1470,6352.025348
-162.326651,1470,6424.675149
-303.232147,1530,6451.480047
-301.03763,1470,6477.040256
-163.846627,1470,6502.896831
-190.508012,1845,6585.013444
95.446211,1470,6610.550574
-268.317281,1470,6635.628222
-485.488747,1470,6708.66411
-428.599055,1470,6734.220712
-126.842321,1110,6753.106247
-87.533432,1470,6778.457455
-331.94649,1470,6846.285566
-47.735902,1095,6864.729283
213.900846,1095,6884.023132
-694.582982,1470,6909.452113
148.73419,1110,6975.960071
-384.361876,1470,7001.486828
-266.537878,1470,7027.099626
-50.606466,1095,7090.790394
-104.258354,1110,7110.168008
-85.353335,1470,7135.944355
-299.14674,1530,7162.033392
-401.931324,1470,7234.171186
-237.549233,1470,7259.518219
14.942103,1470,7285.112607
394.918342,1470,7360.941424
-34.727859,1470,7386.463744
-20.973438,1095,7405.942039
-49.004993,1470,7431.455249
-278.522185,1470,7506.563243
-307.201207,1467,7532.123555
-99.773922,1470,7557.461574
-229.259449,1470,7632.725355
403.581386,1470,7657.918773
-48.578342,1470,7683.595681
-264.948629,1470,7709.16972
-298.381187,1470,7779.157566
19.04263,1470,7804.471522
-321.037995,1470,7830.086632
-91.050776,1110,7849.303057
-177.924894,1470,7925.01065
-154.772816,1470,7950.816076
-47.049735,1095,7969.835477
-172.603965,1470,8045.100618
-0.356328,1470,8070.62394
52.371643,1470,8095.731632
-239.212078,1470,8121.167151
-155.672465,1095,8184.651561
8.13887,1095,8203.597681
56.419844,1095,8222.829984
-53.673585,1470,8248.004583
-200.283973,1110,8314.188107
-402.674778,1470,8339.667165
-273.749913,1470,8365.01663
-273.834779,1470,8437.662538
257.029469,735,8450.421441
-253.668097,1470,8475.841029
88.89313,1470,8501.190589
-96.389409,1470,8573.875599
-238.465917,1470,8599.37537
-59.046042,1470,8624.983251
-259.252987,1470,8650.376251
-31.511762,1470,8725.399488
-393.003222,1470,8750.654871
-309.121041,1470,8776.258062
289.611292,1470,8847.870306
-183.213002,1110,8866.842186
-103.224778,1110,8886.533318
329.942579,1470,8912.041132
-58.589105,1470,8982.121872
57.36601,1095,9000.606757
77.684506,1470,9026.148083
-154.701536,1470,9051.944715
-205.936746,1470,9126.869493
-184.935422,1470,9152.676654
14.921371,1470,9178.055423
41.898634,1470,9250.692322
-103.923353,1470,9276.083332
-83.730721,1095,9295.37157
-88.106839,1470,9320.668446
-230.6335,1470,9395.879142
-255.528165,1470,9421.508672
-145.976329,1470,9447.427626
-198.100249,1470,9520.577219
-70.718215,1470,9546.18743
-130.479397,1470,9571.9626
185.868746,1470,9597.320632
-76.998948,1095,9661.606846
-68.280409,1470,9687.181176
-58.589105,1470,9712.769962
-29.890621,1470,9788.679296
-336.455045,1470,9814.276052
-60.102897,1470,9839.832853
0.536114,1470,9865.495415
-100.385222,1470,9940.930549
37.265885,1110,9959.92129
-264.481934,1470,9985.096149
403.581386,1470,10057.812576
151.925399,1470,10083.231357
167.621622,1470,10108.989274
351.801748,1470,10134.653728
125.879853,1470,10207.027556
-34.014087,1470,10232.533772
-329.282952,1470,10257.835327
-109.182823,1470,10330.196002
-287.133204,1470,10355.653222
86.467785,1845,10387.554237
-246.394326,1470,10462.536024
-224.591226,1110,10482.164086
-139.158703,1470,10507.668049
-333.688169,1470,10533.248183
439.845149,1470,10600.22755
139.058612,1110,10619.54148
-245.715445,1470,10644.919584
-98.966735,1470,10719.736092
1710.593604,1470,10745.357567
-77.255892,1470,10770.696067
