#{"t_start": 1774374591.5767727, "env_id": "None"}
r,l,t
-353.316528,1470,28.216411
-210.745553,1470,51.557918
-143.877576,1470,75.027428
192.860642,1470,149.053495
8.852704,1470,173.46715
-351.302875,1470,197.921943
64.324118,1470,267.059781
-309.193581,1095,284.323205
-178.618502,1470,309.21497
-265.196816,1470,334.020347
-194.751829,1095,401.874162
61.291281,1468,426.722733
198.888983,1470,451.987268
-243.393703,1470,477.607226
200.105258,1469,550.050969
284.959803,1470,575.370625
-377.061488,1470,600.658432
-88.303387,1470,670.349943
28.510771,1470,695.423911
-12.845975,1095,714.336729
-253.206093,1470,739.802688
-268.702493,1470,814.523929
-43.63951,1470,839.861037
66.920479,1470,865.294261
97.400488,1470,937.825619
-39.150222,1470,963.155123
117.643753,1470,988.479694
57.443504,1095,1007.518872
-193.946007,1470,1080.3422
-371.008548,1470,1105.867947
-262.125606,1470,1131.029797
-196.760127,1470,1200.651414
63.447816,1470,1226.134546
-336.277991,1470,1251.36332
-286.499846,1470,1276.874993
-149.553094,1149,1344.772135
315.423446,1470,1369.901482
-294.794762,1470,1395.581413
-230.09455,1470,1462.901749
112.374639,1470,1488.517188
36.281399,1470,1514.295824
-235.693938,1469,1539.837235
19.355648,1095,1605.827675
218.213432,1110,1625.370818
532.756494,1470,1650.383849
-192.493702,1470,1723.357107
412.113703,1470,1748.737179
94.331369,1470,1774.419602
51.09807,1470,1800.1894
-245.103934,1467,1875.323715
20.87042,1470,1901.219718
-51.74537,1470,1926.371041
95.389261,1470,1996.44668
163.718349,1470,2022.135969
531.813804,1470,2047.773673
-208.12809,1469,2073.04799
-368.23573,1470,2148.860784
142.011025,1470,2174.147911
-196.760127,1470,2199.542479
-211.644265,1470,2269.311197
-336.089415,1470,2294.934841
-228.385506,1467,2320.136854
-215.810731,1469,2395.235493
-273.010927,1470,2420.280302
176.352193,1095,2439.044406
-351.271866,1470,2464.07127
-37.036066,1470,2531.412749
-115.734837,1470,2556.430059
-347.056356,1470,2581.346984
409.763991,1470,2606.694799
172.248885,1470,2681.655634
-117.268125,1470,2707.134713
-232.604029,1470,2732.628214
-177.961585,1530,2808.782772
853.535105,1469,2834.202852
-264.892862,1470,2859.550442
-252.532773,1470,2935.142335
231.953255,1470,2960.546559
-185.706468,1470,2986.145131
-203.760097,1110,3005.056787
111.318846,1470,3079.931616
-165.615067,1470,3105.324807
-178.123854,1470,3131.10912
-180.227447,1110,3151.127522
-104.611982,1470,3221.768135
161.329339,1470,3247.367044
224.745888,1470,3272.96672
-373.879307,1470,3347.787871
95.391261,1470,3373.214485
-40.650781,1470,3398.675254
78.807577,1470,3470.861128
1011.649857,1469,3496.454981
-60.099665,1095,3515.202237
-72.320214,1470,3540.624055
-224.88636,1470,3612.643118
-297.626252,1470,3638.134569
-14.706627,1470,3663.755883
208.457725,1095,3682.986969
-295.886059,1470,3757.427897
-34.309932,1470,3783.114855
315.423446,1470,3808.190596
-180.227447,1110,3875.883898
-172.544626,1463,3901.251523
-41.555878,1470,3926.932643
-176.94283,1470,3952.192839
-324.989726,1470,4024.725713
-243.440424,1470,4050.595715
-308.184853,1470,4076.057247
27.837158,1470,4151.129226
-291.774922,1470,4176.421733
-20.250896,1470,4202.101053
283.782926,1470,4227.337584
-233.691982,1470,4297.90441
-0.571462,1095,4317.490511
-162.323138,1470,4342.845067
145.322663,1470,4415.502691
-105.297325,1095,4435.208804
-56.285615,1470,4460.629893
94.176829,1470,4485.922616
-57.855343,1470,4560.958109
181.707249,735,4573.168068
-247.266275,1470,4598.6832
158.796472,1095,4618.321325
-231.259012,1470,4686.109485
-294.504083,1470,4711.456901
-145.743843,1470,4736.848527
-215.217689,1470,4807.755988
61.680866,1110,4827.246973
-192.251791,1470,4852.737379
-153.535379,1470,4878.214467
-379.837125,1470,4948.987667
-288.113353,1470,4974.416964
-110.293452,1845,5006.171558
-323.825308,1470,5079.173377
-153.161737,1149,5099.30466
-65.165032,1095,5118.547624
-375.228297,1470,5143.802905
2.295104,1470,5216.626908
-349.802875,1470,5242.26743
-185.04557,1470,5267.488152
-268.471135,1470,5340.245216
-315.480272,1470,5365.514377
-107.268427,1470,5391.221396
95.270625,1470,5416.602918
-315.480272,1470,5491.654506
-107.564104,1470,5516.939883
-219.648091,1470,5542.425844
-127.101393,1470,5614.807113
-243.329733,1095,5634.329842
1630.5571,1470,5659.650549
-137.645144,1110,5678.887356
52.461808,1470,5754.008778
-153.443677,1470,5779.567245
-266.369634,1470,5804.84875
-292.401561,1470,5830.069721
58.733963,1470,5905.56692
-424.01374,1470,5930.683013
-108.612135,1470,5956.513152
-258.539578,1470,6031.442376
-91.235739,1110,6050.599065
-224.031807,1470,6076.261719
257.642884,1470,6101.983486
29.120843,1470,6177.20823
-77.123742,1470,6202.781659
-105.654089,1110,6222.238254
361.62713,1470,6295.107625
-34.814629,1470,6320.578362
-112.468028,1470,6346.04628
-299.45257,1530,6373.031258
-4.62657,1470,6445.772507
-250.167787,1095,6464.710459
-163.958874,1470,6490.165762
-244.042917,1470,6565.38532
-104.700107,1470,6591.092423
-41.071113,1470,6616.574473
143.145545,1470,6641.916363
36.222001,1470,6714.826414
266.393256,735,6728.035414
-5.031255,1470,6753.423935
-292.401561,1470,6778.777253
403.025807,1470,6846.595702
-15.48972,1095,6865.0473
-142.669383,1095,6884.333986
250.188536,1470,6909.771864
-100.477347,1470,6982.387353
-203.586374,1470,7008.254872
-387.11182,1470,7033.638457
-77.267293,1470,7103.34924
-263.626686,1467,7128.962031
71.998015,1470,7154.364763
-127.845856,1470,7226.555089
-110.632664,1470,7252.107637
1710.593604,1470,7278.009919
17.132568,1470,7303.487019
-484.566661,1095,7372.863566
198.524503,1470,7398.254411
-124.193652,1470,7423.901383
297.628069,1110,7443.37711
-129.459306,1470,7518.552428
-162.690966,1470,7544.32873
50.603359,1470,7569.708906
-276.151559,1470,7644.927982
-122.418387,1470,7670.395827
-124.825725,1470,7696.034487
404.837251,1470,7766.088874
-21.338053,1470,7791.156831
693.84258,1470,7816.897575
64.993388,1095,7835.506008
-22.735681,1470,7911.099232
-66.116598,1095,7930.063891
-458.728722,1470,7955.582596
-98.959913,1470,7980.962826
-57.660725,1470,8056.215641
-256.105084,1470,8081.76802
-343.55193,1470,8106.962389
-147.055772,1470,8176.980266
-53.220696,1470,8202.584253
-343.147351,1470,8228.321581
-229.613471,1470,8253.468006
-178.674905,1469,8325.843405
438.127843,1470,8351.336284
-208.448444,1470,8376.742138
-74.50187,1470,8449.391524
-167.425133,1470,8474.827761
1710.593604,1470,8500.169489
-77.264077,1470,8572.859888
181.002713,1470,8598.352687
-121.425493,1470,8623.954649
-281.581267,1467,8649.31242
34.6101,1470,8724.33081
-45.334122,1095,8743.689123
-214.368066,1470,8769.128507
69.843738,1095,8788.486779
-266.822718,1470,8859.841453
-104.134066,1470,8885.076644
176.448553,1470,8910.522385
-261.35107,1470,8980.664996
176.623941,1470,9005.949934
-147.542229,1470,9031.555897
-78.607025,1470,9106.51543
-58.589105,1470,9131.949692
117.318227,1110,9151.360554
121.900587,1095,9170.058208
76.301117,1845,9249.400283
-109.754315,1470,9274.796742
117.318227,1110,9294.321404
-237.053935,1095,9313.554595
-64.991051,1095,9381.947079
15.188066,1470,9407.607233
-166.778742,1470,9433.083127
-36.79619,1470,9458.745776
-280.730206,1470,9532.161328
-39.218359,1470,9557.691964
755.534866,1469,9583.358147
-39.615606,1470,9653.389647
-258.640355,1470,9679.155403
-178.226151,1470,9704.820756
58.951535,1170,9724.990797
-35.354487,1470,9801.12242
56.371276,1470,9826.48997
-115.882372,1470,9852.057247
-54.269626,1470,9927.931306
181.637875,1470,9953.520387
-342.224729,1470,9979.152729
-124.994905,1470,10051.651757
-275.319757,1470,10076.94346
-159.865612,1470,10102.502121
-251.397223,1470,10127.94983
