#{"t_start": 1773927547.846293, "env_id": "None"}
r,l,t
-1493.549027,1470,51.966726
-1133.93986,1095,88.12277
-2309.545792,1470,134.525019
-881.299187,1095,267.650798
-625.883076,1470,314.084462
-376.427734,1470,356.649001
-862.842953,1470,404.841397
-908.063748,1470,553.851615
-546.887687,1470,602.129967
-1613.739827,1470,650.705773
-746.038899,1470,794.476907
-1628.521512,1470,841.500933
-563.511437,1470,884.809502
-1263.632086,1470,933.360584
-981.532114,1470,1076.03645
-740.797917,1470,1124.509661
-300.50532,1470,1173.264687
-2082.616122,1467,1311.384095
-1316.430946,1470,1360.144686
-361.673261,1470,1405.311239
23.425203,1095,1440.035348
-478.774408,1470,1584.220005
-462.362391,1470,1626.531472
-1108.271823,1470,1675.412349
-131.903453,1470,1819.247902
-530.267809,1470,1868.214432
-1472.260872,1470,1916.911396
-663.708612,1470,2051.456403
-1242.0945,1470,2100.314962
-1721.237129,1467,2141.521221
-266.580582,1470,2164.347885
-1053.763409,1470,2234.30498
-353.731761,1470,2257.218774
-106.644956,1095,2274.365312
-691.230681,1470,2296.926661
118.129033,1095,2360.926743
-438.079925,1469,2383.631343
-636.154581,1470,2406.112386
-199.778174,1095,2470.738482
-445.280475,1470,2493.231393
-1130.496017,1470,2516.091401
-226.382004,1470,2539.21081
-206.297956,1470,2611.923077
-59.110212,1470,2634.744697
152.48195,1470,2657.438522
-779.847646,1470,2726.960436
-985.304132,1470,2749.655392
-190.898533,1470,2772.352429
-18.55788,1470,2794.867152
204.422312,1095,2858.89279
-106.843805,1470,2881.707758
-445.153857,1470,2904.591312
-215.344204,1470,2977.376783
29.585615,1470,3000.217114
-288.26587,1110,3017.786068
332.018963,1470,3040.516878
206.4328,1470,3110.624244
241.21127,1470,3133.570676
-983.923243,1470,3156.655155
-257.195145,1110,3173.758706
-43.523776,1470,3247.206712
437.176564,1470,3269.923949
-277.140289,1470,3292.74541
270.7518,1470,3362.760702
124.687732,720,3373.809247
-343.757918,1470,3396.866369
-799.509932,1470,3419.685034
-541.214936,1470,3489.695603
-104.755414,1095,3506.922029
-268.789438,1470,3529.962124
55.946237,720,3541.307991
-69.110279,1470,3614.104855
-94.983176,1470,3636.99242
-216.364091,1470,3659.925815
-1.130109,1470,3727.615665
501.76952,1470,3750.0891
22.35502,1095,3767.578852
1792.40503,1149,3785.461941
-1126.876588,1470,3855.270775
329.622712,1095,3872.328491
169.704635,1470,3895.446267
-59.322777,1110,3912.797629
-194.146325,1470,3982.970412
-613.063816,1470,4005.51876
-133.058028,1470,4028.386122
710.970628,1470,4050.980025
483.243319,1095,4117.379992
-378.15243,1470,4140.128779
173.288397,1095,4157.455616
18.271801,1470,4180.195626
-338.14053,1470,4250.14408
-10.288565,1470,4273.269408
165.575646,1470,4296.343303
409.157518,1470,4366.866626
-505.878259,1470,4389.488442
113.812627,720,4400.826466
-69.229403,1470,4423.522246
978.934337,1470,4493.741895
-31.386057,1467,4516.984245
38.461266,1095,4533.92651
208.686109,1470,4556.97295
-170.133825,1470,4626.834254
-68.724987,1470,4649.755292
-161.834314,1470,4672.255069
334.962783,1470,4745.115748
-655.249814,1470,4767.670013
-30.707246,1470,4790.690909
-218.021309,1110,4807.655225
-109.840195,1470,4877.890346
-321.858775,1470,4900.485121
-8.623716,1470,4923.512296
-63.478019,1470,4993.738766
1.382926,1470,5016.527419
-2.201712,1470,5039.358942
182.398301,1470,5109.67646
-234.548762,1470,5132.526084
363.025081,1095,5149.518667
-156.241241,1470,5172.324319
253.496372,1095,5239.141654
