month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,695800.38,90727.72,1829,1000000.0,30252.19,69.58
2025-02,530580.86,127453.75,1447,1000000.0,26529.04,53.06
2025-03,215085.02,108787.19,1332,1000000.0,11320.26,21.51
2025-04,333154.46,103027.32,1063,1000000.0,17534.45,33.32
2025-05,720761.02,126947.85,2187,1000000.0,34321.95,72.08
2025-06,-154744.77,89188.77,882,1000000.0,-7368.8,-15.47
2025-07,792587.48,108828.68,2082,1000000.0,34460.33,79.26
2025-08,736355.61,94733.97,1577,1000000.0,38755.56,73.64
2025-09,551067.0,111541.42,2089,1000000.0,25048.5,55.11
2025-10,623299.16,109240.5,1659,1000000.0,29680.91,62.33
2025-11,150321.5,145071.67,1384,1000000.0,7911.66,15.03
2025-12,178803.13,152715.21,1651,1000000.0,8514.43,17.88
