episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct,position_type,final_margin
1,2025-01-01,-17070.45,23648.78,2005.09,10,41333.86,-7.6506,-41.2989,SHORT,0.0
2,2025-01-08,4078.81,8343.8,10382.99,6,41906.13,1.0489,9.7332,SHORT,0.0
3,2025-01-15,24051.23,1678.4,24189.97,2,43484.98,2.7983,55.3093,SHORT,0.0
4,2025-01-22,21259.81,3642.33,22448.97,2,47022.73,2.5529,45.2118,SHORT,0.0
5,2025-01-29,20044.72,6848.0,20216.74,6,50353.91,1.1753,39.8077,SHORT,0.0
6,2025-02-05,8101.79,7221.41,11751.24,10,40022.19,0.6442,20.2432,SHORT,0.0
7,2025-02-12,25344.7,2887.2,25433.53,2,41873.49,2.6973,60.5268,SHORT,0.0
8,2025-02-19,22344.98,3192.51,23235.98,6,43710.2,2.5956,51.1207,SHORT,0.0
9,2025-03-05,14671.48,3877.8,14786.18,30,36941.19,1.707,39.7158,SHORT/LONG,0.0
10,2025-03-12,24097.32,911.31,24097.32,2,37851.26,2.8974,63.6632,SHORT,0.0
11,2025-03-19,4665.96,6904.75,4853.04,30,36558.46,0.6469,12.763,LONG/SHORT,0.0
12,2025-03-26,9523.32,2179.96,11242.66,2,38934.76,2.2086,24.4597,SHORT,0.0
13,2025-04-02,-43570.4,66934.3,6710.43,28,38489.52,-9.6487,-113.2007,SHORT,0.0
14,2025-04-09,6581.95,5225.56,7390.95,6,55828.44,1.6073,11.7896,SHORT,0.0
15,2025-04-16,-5032.78,13905.36,3009.46,66,43432.83,-4.5354,-11.5875,LONG/SHORT,0.0
16,2025-04-23,26056.75,8592.36,26056.75,2,44804.08,2.3685,58.1571,SHORT,0.0
17,2025-04-30,29063.42,12580.35,29063.42,2,51688.11,1.8256,56.2284,SHORT,0.0
18,2025-05-07,23695.04,9885.38,27214.46,10,57127.85,1.744,41.4772,SHORT,0.0
19,2025-05-14,23802.58,10675.29,23802.58,6,53152.42,1.5501,44.7817,SHORT,0.0
20,2025-05-21,27777.47,13626.65,27777.47,2,51681.3,0.5625,53.7476,SHORT,0.0
21,2025-05-28,35951.18,2933.86,36243.5,2,56192.37,3.3165,63.9788,SHORT,0.0
22,2025-06-04,14105.64,8375.35,14105.64,6,48844.44,1.4629,28.8787,SHORT,0.0
23,2025-06-11,22778.36,15725.24,23062.89,2,42088.67,1.5046,54.1199,SHORT,0.0
24,2025-06-18,22903.81,4454.62,22903.81,6,42948.4,2.2501,53.3287,SHORT,0.0
25,2025-06-25,12829.04,7369.32,13040.3,6,40432.93,1.0789,31.7292,SHORT,0.0
26,2025-07-02,21365.84,2096.23,21818.24,2,38271.96,2.6549,55.8263,SHORT,0.0
27,2025-07-09,5216.29,7152.85,6750.81,6,36842.86,1.1902,14.1582,SHORT,0.0
28,2025-07-16,20574.93,3791.39,20855.27,2,34693.61,2.497,59.3047,SHORT,0.0
29,2025-07-23,727.19,7484.4,4815.57,14,32260.15,-0.2425,2.2541,SHORT,0.0
30,2025-07-30,20961.05,3497.33,20961.05,2,34850.19,2.5097,60.1462,SHORT,0.0
31,2025-08-06,21281.46,2763.59,21295.52,2,35014.99,2.5698,60.7781,SHORT,0.0
32,2025-08-13,28147.14,8810.05,33469.96,14,129750.35,2.3961,21.6933,SHORT,0.0
33,2025-08-20,22276.38,917.48,22300.27,2,35567.68,2.7976,62.631,SHORT,0.0
34,2025-09-03,14000.22,6123.17,15444.41,10,33753.25,1.3843,41.4781,SHORT,0.0
35,2025-09-10,18943.64,1286.33,19041.63,2,31651.83,2.6677,59.8501,SHORT,0.0
36,2025-09-17,17784.65,2599.33,18188.77,2,31125.66,2.5791,57.1382,SHORT,0.0
37,2025-09-24,3066.5,10963.32,6412.11,6,32035.12,0.5341,9.5723,SHORT,0.0
38,2025-10-01,10327.57,3015.65,10390.06,10,33074.39,1.881,31.2253,SHORT,0.0
39,2025-10-08,14405.12,3040.1,14481.48,6,30508.78,2.0625,47.2163,SHORT,0.0
40,2025-10-15,3712.24,10564.11,3712.24,14,32684.13,-0.1676,11.3579,SHORT,0.0
41,2025-10-29,16259.75,3683.79,17209.16,6,37252.9,2.3625,43.6469,SHORT,0.0
42,2025-11-12,18425.59,2155.93,18425.59,6,37390.15,2.2804,49.2793,SHORT,0.0
43,2025-11-19,11088.45,5904.57,13688.47,10,37184.42,1.4891,29.8202,SHORT,0.0
44,2025-11-26,16856.52,7242.01,16856.52,6,37195.74,0.9856,45.3184,SHORT,0.0
45,2025-12-03,21256.84,2341.17,21424.64,2,34777.98,2.5895,61.1215,SHORT,0.0
46,2025-12-10,15949.69,3013.49,15949.69,6,34261.81,1.9939,46.5524,SHORT,0.0
47,2025-12-17,10714.26,2429.01,11309.53,10,31021.53,1.9498,34.5381,SHORT,0.0
48,2025-12-24,8882.84,4799.13,12784.83,6,29468.92,1.9022,30.1431,SHORT,0.0
