#{"t_start": 1770293603.1202912, "env_id": "None"}
r,l,t
-233.10146,345,22.589929
-157.627597,345,42.080575
-95.561574,345,61.394337
83.835945,345,80.895415
10.055872,345,100.128078
-29.240292,345,204.526136
-998.424132,345,223.369475
-2.198164,345,241.998067
-91.649261,345,261.061108
-824.198112,345,280.382385
-35.276737,345,299.934479
-110.151686,345,402.962872
-39.590857,345,422.194307
-71.686607,345,441.679414
6.119818,345,498.79812
-43.152937,345,517.975555
-26.296729,345,536.485565
-1057.746801,343,639.064188
-108.47512,345,658.232222
-76.323152,345,677.372983
-1404.048847,345,697.430792
-491.640886,345,717.528256
-52.162825,345,738.05169
-28.543032,345,840.741728
57.187533,345,860.150786
-132.929034,345,879.496802
-103.216915,345,898.456462
-174.380173,345,917.389984
88.038029,345,974.089271
-192.198051,345,1077.581271
-10.60771,345,1097.039351
-58.364679,345,1116.641295
-148.560989,345,1135.289268
-39.586197,345,1154.697417
-85.843546,345,1174.884363
-168.158066,345,1278.952941
-28.940292,345,1297.942431
-29.366829,345,1316.882632
-72.706316,345,1337.264242
-85.052255,345,1356.941301
-147.821123,345,1376.856849
-40.354635,345,1479.868187
-134.756981,345,1499.457913
-28.618371,345,1555.94879
-97.621909,345,1576.280854
-108.882767,345,1595.8738
-67.60512,345,1615.281209
-72.139017,345,1718.679105
-892.403144,345,1737.371318
-105.101628,345,1756.461526
-142.403299,345,1776.547623
-10.130055,345,1796.106743
-113.690325,345,1816.038887
-76.355998,345,1919.483094
-240.282361,345,1938.940411
-48.269699,345,1958.738052
-56.154411,345,1979.060601
-132.149902,345,2028.923383
-117.468204,345,2049.245478
54.761275,345,2152.988675
-94.843784,345,2173.663368
121.244126,345,2193.377445
-29.530395,345,2213.622876
-140.8116,345,2233.012849
-116.941991,345,2252.676528
-96.167942,345,2355.736551
-128.750891,345,2377.417109
-76.588632,345,2398.329227
3.166316,345,2418.880715
-160.650087,345,2439.048914
-53.269986,345,2459.23416
162.743662,345,2563.989801
-53.722601,345,2620.481832
-94.21504,345,2640.598035
-44.436585,345,2660.858799
29.927881,345,2680.915865
-37.306293,345,2700.308141
-90.892304,345,2804.098984
-129.441344,345,2823.306631
-134.348849,345,2843.479037
-22.55884,345,2863.244546
141.528126,345,2883.363045
-54.862638,345,2903.769874
-18.798499,345,3007.759345
60.268865,345,3028.560264
67.244232,345,3048.656897
-48.297958,345,3106.50386
-33.732161,345,3126.533423
-99.217247,345,3146.220919
-21833.524105,345,3250.853631
26.559512,345,3271.293477
0.570186,345,3291.311378
-175.455206,345,3311.466555
-117.001738,345,3330.994944
-182.41626,345,3434.030104
-59.495618,345,3454.213513
6.406571,345,3474.083373
36.768093,345,3493.759804
-50.443306,345,3513.59823
-154.358998,345,3533.625651
-86.872036,345,3637.128583
62.703264,345,3694.981385
36.398492,345,3714.686609
-19.437556,345,3734.210757
-116.527451,345,3754.373935
-33.940345,345,3774.512597
-194.645866,345,3877.313596
-55.945331,345,3897.339716
24.885795,345,3917.993752
-207.545377,345,3938.218261
-50.390277,345,3958.420094
36.219648,345,3979.98671
6.953197,345,4084.713118
64.739346,345,4105.682677
30.114987,345,4126.351794
-114.28803,345,4184.0251
-143.292469,345,4204.739632
19.096834,345,4224.524403
-77.825605,345,4329.25776
-127.561807,345,4349.21282
-93.829046,345,4369.338721
-131.15178,345,4389.996267
-52.22303,345,4410.264182
-182.766795,345,4430.869409
-43.329335,345,4534.454654
-145.432015,345,4554.978259
-24.259306,345,4575.307158
5.872301,345,4595.32948
-90.497805,345,4615.922608
-82.521108,345,4636.407083
-47.112153,345,4777.83821
-43.628846,345,4797.496864
1.830673,345,4817.905048
-96.95997,345,4837.96873
-82.077736,345,4857.968457
-86.88571,345,4878.308437
-158.461319,345,4982.675081
19.80294,345,5003.270587
14.472017,345,5023.749252
-171.947213,345,5044.148533
-6.099533,345,5064.92766
-52.151243,345,5085.740906
-102.396793,345,5189.64725
-91.463146,345,5209.637178
-108.89474,345,5267.383293
-67.951201,345,5287.468859
-101.064355,345,5307.524037
-236.260587,345,5328.352038
-134.07722,345,5432.181089
-44.591598,345,5452.472658
-80.491893,345,5472.468875
95.414913,345,5492.282923
-32.145025,345,5512.010264
-48.692687,345,5532.200702
-144.66426,345,5636.392516
-173.810991,345,5657.592221
-41.727198,345,5678.447963
-39.363741,345,5699.110456
62.902316,345,5718.920595
-75.484422,345,5769.39998
-110.625805,345,5873.508903
71.457754,345,5893.52634
87.670911,345,5913.72773
-90.135269,345,5933.831485
-114.356348,345,5954.283262
-20.605966,345,5974.202586
-41.473601,345,6079.009606
-78.52744,345,6099.591672
25.307437,345,6119.623258
17.357117,345,6139.989149
-125.214989,345,6160.120757
-140.522386,345,6180.393276
-190.817884,345,6285.026015
71.649153,345,6343.062535
-88.708258,345,6363.708956
-1556.268678,345,6383.847286
-46.786572,345,6404.559827
14.374688,345,6424.607723
-137.315695,345,6528.724896
68.564428,345,6549.034561
-22.268365,345,6570.05382
-42.831232,345,6590.230642
-74.909649,345,6610.955773
-3.937463,345,6631.493067
-52.316272,345,6735.457361
-129.18097,345,6755.65536
794.784825,345,6776.25316
-120.077704,345,6797.015051
-105.703318,345,6854.792101
-110.647187,345,6959.038934
86.058026,345,6979.068752
-116.248732,345,6999.428093
-102.623397,345,7019.533139
-133.737004,345,7040.525347
-20.433677,345,7060.971101
-148.593286,345,7164.758842
-108.931581,345,7185.710447
-14.160996,39,7188.198584
-2491.547121,345,7208.205588
-136.729433,345,7228.575096
-89.923784,345,7248.72839
-37.878937,345,7269.781713
9.963191,345,7375.084993
-202.450031,345,7434.072463
-57.71023,345,7454.802097
-117.987254,345,7475.80092
-53.670818,345,7497.402105
-101.086242,345,7518.467481
-34.916405,345,7623.356469
-202.049815,345,7644.303488
-223.730988,345,7665.504467
-33.290647,345,7686.071435
0.785097,345,7706.485536
-38.971531,345,7727.046539
12.226251,345,7831.654637
-66.221875,345,7851.670779
-144.142673,345,7872.172773
-27.697153,345,7893.082664
-34.102648,345,7950.959223
22.909675,345,7971.844749
-33.467597,345,8076.420498
-44.950358,345,8097.187839
-112.754346,345,8118.107863
-174.370525,345,8138.680834
-45.058599,345,8159.828976
-14.800405,345,8180.952345
-114.377997,345,8284.425391
-196.99649,345,8305.017962
-73.46042,345,8325.028729
-46.939076,345,8346.378027
199.180711,345,8366.340415
-5.799472,345,8387.14101
-60.39335,345,8529.039322
-110.334164,345,8549.720569
-116.332728,345,8570.571498
93.733033,345,8591.380092
-107.504119,345,8611.471756
71.551566,345,8631.933505
-19.654904,345,8736.35324
17.266719,345,8756.723265
-83.991675,345,8777.444571
-53.873724,345,8797.456727
-26.491523,345,8818.063626
-52.723083,345,8838.578067
-61.906059,345,8942.281488
-138.471137,345,8963.258086
-221.683145,345,8983.897024
-46.186472,345,9041.802806
-129.52803,345,9062.319223
40.758454,345,9084.668769
-87.233112,345,9189.522922
85.612484,345,9210.401036
-10.150444,345,9231.370411
-112.695861,345,9252.031192
-135.412724,345,9273.024771
54.965306,345,9293.940992
-9.663107,345,9398.794301
-58.323196,345,9419.664007
-47.585783,345,9439.188773
-208.362316,345,9459.832319
-12.620669,345,9480.003203
-40.116839,345,9537.430411
86.643651,345,9642.258258
127.324653,345,9662.607627
32.546533,345,9682.732277
-123.237158,345,9703.428336
23.88048,345,9724.050372
-16.649691,345,9744.195645
-90.979889,345,9848.976433
-37.277662,345,9870.118865
-19.69306,345,9891.007361
-138.753275,345,9911.901861
22.969541,345,9932.234774
-38.176692,345,10036.287784
14.594541,345,10057.298502
-29.373545,345,10078.677297
-104.34386,345,10137.042869
42.572558,345,10157.743929
-47.267734,345,10179.068153
70.263804,345,10283.53002
105.480989,345,10303.902976
65.333976,345,10325.190424
-70.759757,345,10346.130305
-61.836903,345,10366.568099
-172.884198,345,10386.627402
-4056.66004,345,10491.473254
-85.984585,345,10512.181373
53.18091,345,10532.942989
-75.784142,345,10554.497697
36.92965,345,10575.590551
-38.07242,345,10633.55689
-154.854271,345,10737.952789
170.63949,345,10759.481488
-128.099248,345,10780.981291
-203.885665,345,10802.468634
-55.463613,345,10824.264499
-17.664796,345,10845.507604
-105.941014,345,10951.292442
-216.40041,345,10972.69108
-62.661134,345,10993.930354
-71.751474,345,11014.556205
-133.12984,345,11035.496911
-73.135928,345,11056.786412
188.89251,345,11161.423435
-40.975995,345,11182.119824
-40.974522,345,11241.435653
15.976264,345,11262.300032
-9.118153,345,11283.387222
-133.883955,345,11303.881055
-2.701274,345,11408.66566
-157.066493,345,11429.848424
-156.873698,345,11450.150296
29.281898,345,11471.737846
-52.856233,345,11493.372277
-255.790018,345,11513.512143
-59.956477,344,11585.891484
-98.653819,345,11606.961198
132.624518,345,11627.747078
190.745061,345,11648.739513
64.379981,345,11704.738669
-65.899862,345,11724.659118
-1305.320019,345,11796.526225
71.601277,345,11816.750569
-24.158855,345,11837.46402
-49.188447,345,11858.546293
-7.518213,345,11880.612292
-124.377114,345,11901.651488
-121.430104,345,11974.826321
-123.025519,345,11994.968979
-62.388609,345,12016.118823
-113.966094,345,12036.215651
0.665302,345,12057.126566
-74.498099,345,12079.569201
-24.40084,345,12152.226305
-0.696131,345,12207.510383
-82.660497,345,12227.478735
-81.809363,345,12248.267176
-119.217501,345,12269.550452
-66.456947,345,12289.905045
-129.172881,345,12363.417527
-11.001502,345,12385.834009
-70.259143,345,12408.017694
53.975708,345,12430.225232
-120.570325,345,12451.128305
-79.663141,345,12471.985538
-96.77443,345,12545.907071
-103.304793,345,12566.528829
-150.266209,345,12587.842267
-94.282234,345,12643.107583
21.977716,345,12664.770915
-24.69614,345,12684.535588
83.560423,345,12789.02582
-80.154455,345,12809.922225
-30.704475,345,12830.737272
-25.89219,345,12851.806879
-23.62385,345,12872.951825
-65.169122,345,12894.216443
-129.007109,345,12999.536155
-72.572913,345,13020.164848
-56.785148,345,13041.29179
-65.26094,345,13062.434678
-108.667278,345,13083.543774
11.760029,344,13104.745765
-24.953117,345,13247.020955
65.428219,345,13267.794683
-45.727055,345,13289.091863
-153.058869,345,13309.99199
