#{"t_start": 1773860275.1839516, "env_id": "None"}
r,l,t
-3500.056336,1470,28.444871
-1577.55011,1110,45.515874
-2629.830256,1470,68.624252
-1413.821587,1470,140.360902
-111.499599,1110,157.638605
-1543.486969,1470,181.07955
-359.556128,1470,205.096302
-306.562289,1470,274.427354
-454.530077,1470,298.703097
-498.381772,1469,322.827861
205.50277,1110,389.060512
130.224115,1095,407.534212
-40.854134,1470,431.816174
-17.583903,1470,456.36676
-26.416284,1470,529.098295
-50.108416,1470,553.744364
-10.381249,1470,578.205008
-13.132861,1470,653.56417
-138.349604,1470,678.157573
-306.342455,1470,702.79652
-15.22141,1470,727.152094
-7.79011,1470,797.443496
-27.319831,1149,817.018664
-49.376143,1470,841.738132
-23.14901,1095,860.47759
-2306.28083,1470,930.283821
-133.842649,1470,954.957679
-2950.947779,1470,979.942182
-7.462075,1470,1052.800863
-760.887862,1470,1077.424774
-9.368619,1470,1102.101381
-14.706985,1470,1127.098318
-10.529143,1470,1198.151243
-38.07828,1470,1223.194492
-10.714244,1470,1247.952139
-7.909618,1470,1320.670447
-19.721143,1470,1345.498159
-7.997112,1470,1370.010849
-21.486684,1470,1445.169454
-8.203437,1470,1469.816923
-10.529143,1470,1494.503634
-9.010823,720,1506.805367
-120.959972,1470,1582.274345
-11.205987,1110,1601.016212
-9.930369,1470,1625.929479
-11.041817,1470,1650.439078
-48.357371,1095,1717.215873
-7.334553,1470,1742.330782
-8.536409,1470,1767.125056
-10.581051,1470,1791.675214
-312.668149,1470,1864.498399
-37.756108,1470,1889.420852
-7.606425,1470,1913.782102
-7.968639,1470,1988.992713
-7.106106,1470,2013.670024
-14.539029,1463,2038.591944
-8.29158,1470,2113.558061
-22.955392,1470,2138.097029
-9.930369,1470,2162.580075
-8.02737,1470,2187.589846
-38.61436,1470,2258.752383
-12.058675,1470,2283.642776
-149.041033,1470,2308.540954
-7.628284,1110,2374.923872
-16.446677,1470,2399.811738
-10.22321,1470,2424.403137
-8.538603,1470,2449.257135
-100.896708,1470,2522.921674
-118.5169,1470,2547.661101
-8.536409,1470,2572.429815
-7.631973,1470,2648.147458
-7.804422,1470,2672.698309
-8.232044,1470,2697.459798
-7.738188,1469,2722.361904
-4.777263,720,2780.521705
-14.919111,1470,2805.155387
-13.225533,1469,2830.076918
-8.1493,1470,2855.263599
-8.046378,1470,2928.668538
-94.30759,1470,2953.130367
-10.208357,1470,2977.623494
-11.041817,1470,3050.532479
-11.81642,1470,3075.197578
-648.61323,1470,3099.725864
-5.759384,1095,3118.178087
-5.333794,1095,3182.281752
-18.154279,1470,3206.334405
-118.917415,1470,3231.107647
-40.019486,1470,3304.519298
-7.257929,1470,3329.271745
-22.428877,1470,3354.371584
-33.596321,1470,3378.743771
-7.106106,1470,3451.514909
-64.73382,1470,3476.151906
-7.741038,1470,3501.181162
-5.647097,1095,3567.845563
-42.612001,1470,3592.182543
-10.378248,1470,3617.076344
-11.455818,1470,3641.73986
-7.721708,1470,3714.644608
-12.058675,1470,3739.048671
-10.334802,1470,3763.594481
-8.849705,1470,3834.393582
-7.78684,1470,3859.012129
-86.141437,1470,3883.745707
-7.328091,1470,3908.595857
-15.685473,1470,3979.127298
-11.17866,1470,4003.992694
-28.005577,1470,4028.466735
-7.027236,1470,4103.859238
-23.794224,1470,4128.802676
-7.771179,1470,4153.678874
-20.633728,1470,4229.659039
-10.335976,1470,4254.59976
-38.749092,1469,4278.998895
-7.806715,1470,4303.76685
-7.965095,1470,4376.643075
-37.492524,1470,4401.182816
-41.589067,1470,4426.090389
-82.233346,1470,4499.371853
-10.26657,1470,4524.000979
-6.128693,1110,4542.986502
-8.761731,1470,4567.684683
-42.557981,1470,4637.837799
-5.773693,1110,4656.348053
-11.093934,1470,4681.070851
-5.324369,1110,4699.494622
-7.771179,1470,4772.441561
-16.796186,1470,4797.288746
-7.821251,1470,4822.272479
-7.354281,1470,4889.727139
-8.3836,1110,4908.390657
-96.032731,1470,4933.028519
-12.058675,1470,4957.989798
-5.913,1095,5024.888903
-7.804422,1470,5049.54055
-8.087073,1470,5074.04081
-325.23634,1470,5144.194729
-10.18353,1470,5169.04424
-151.691277,1095,5187.360824
-7.543139,1470,5212.285113
-8.48631,1470,5287.947897
-8.115778,1110,5306.968938
-7.328473,1470,5332.002476
-7.968639,1470,5356.458676
