#{"t_start": 1773860275.2290297, "env_id": "None"}
r,l,t
-3158.004064,1470,28.39677
-3215.239417,1470,51.285302
-1459.107314,1470,74.48771
-1307.02169,1095,139.767975
-415.654697,1470,163.144194
-86.672059,1470,186.605094
-244.063185,1470,210.572319
-559.474854,1470,280.064975
-390.149383,1470,304.330689
-14.187152,1470,328.654204
-53.827529,1470,400.955731
-20.242178,1110,419.263613
-111.844132,1470,443.869222
-324.832498,1470,468.404174
-26.927762,1463,540.609076
-22.197389,1470,565.741125
-30.630334,1470,590.301037
-116.927605,1470,665.667562
-9.874838,1470,690.291818
-430.218884,1470,714.955474
-349.531009,1470,784.960153
-14.477427,1470,809.774272
-12.37162,1470,834.420807
-2760.60763,1470,859.079376
-881.687228,1470,929.020667
-120.102929,1470,953.694127
-53.988322,1470,978.534929
-646.451836,1470,1051.362484
-8.164637,1470,1075.992988
-10.301003,1470,1100.673375
-783.716425,1470,1125.682158
-32.885462,1470,1196.727369
-4.211958,780,1210.398282
-7.072953,1110,1228.995569
-43.985517,1095,1247.363074
-9.912294,1470,1320.079042
-7.165109,1470,1344.923166
-7.257681,1470,1369.432632
-7.883958,1470,1444.602439
-54.208541,780,1458.0302
-9.912294,1470,1482.640357
-26.075684,1470,1507.583077
-7.784734,1470,1583.04836
-5.333794,1095,1601.577689
-7.628284,1110,1620.475812
-10.301003,1470,1645.08012
-8.553961,1470,1718.274245
-8.722516,1095,1736.231547
-7.607103,1470,1761.590636
-9.107766,1470,1786.467263
-119.932062,1470,1859.040944
44.466559,1470,1883.872576
-30.576278,1470,1908.387415
-7.588306,1470,1983.679102
-4.211958,780,1996.7972
-7.968639,1470,2021.61738
-4.777263,720,2033.760614
-10.334802,1470,2058.290993
-8.346089,1470,2133.443349
-9.527339,1470,2157.828379
-335.897719,1469,2182.451147
-12.509688,1470,2253.637122
-8.536409,1470,2278.492875
-11.454495,1470,2303.382283
-18.066478,1470,2376.364869
-7.197943,1470,2401.439993
-8.951271,1470,2425.833678
-7.039641,1470,2450.536817
-11.854314,1470,2524.150582
-19.607447,1470,2549.084224
-6.994123,1470,2573.689318
-7.543139,1470,2649.401891
-32.086377,1470,2673.967778
-17.71036,1470,2698.716373
-369.930245,1470,2723.478621
-11.854314,1470,2794.1663
-8.046378,1470,2819.172104
-21.940205,1470,2844.287162
-7.039641,1470,2917.75919
-163.043751,1470,2942.436319
-10.090601,1470,2966.870516
-19.978132,1470,3039.83175
-9.243293,1095,3058.268887
-10.22321,1470,3082.792038
-8.178658,1470,3107.699205
-8.951271,1470,3177.768394
-5.333794,1095,3195.737594
-38.757702,720,3207.770061
-8.04971,1470,3232.582649
-6.3908,1095,3299.423243
-10.749024,1470,3324.166453
-7.299308,1470,3349.106704
-9.548436,1470,3373.455814
-10.334802,1470,3446.331766
-35.858094,1095,3464.630911
-379.833161,1470,3489.568359
-113.575801,1470,3514.604676
-8.582178,1470,3587.009899
-11.357505,1470,3611.868373
-7.162588,1470,3636.602529
-85.596945,1470,3709.566284
-10.703746,1470,3733.939646
-5.715054,1110,3752.723473
-9.368529,1470,3777.285524
-8.08535,1470,3848.300807
-10.714244,1470,3873.303078
-303.438877,1095,3891.927144
-20.725323,1470,3962.295482
-5.509925,1149,3980.925718
-8.064011,1470,4005.721949
-19.473474,1470,4030.526309
-7.107973,1470,4105.898679
-7.479737,1470,4130.839333
-127.887767,1470,4155.771805
-7.284846,1110,4174.325168
-4.211958,780,4238.195428
-10.335976,1470,4262.883935
-782.239112,1470,4287.515197
-7.742231,1469,4360.279407
-9.930369,1470,4385.016979
-89.417076,1470,4409.875078
-87.202479,1470,4434.840382
-7.326764,1470,4508.147055
-25.57062,1470,4532.736098
-24.899676,1470,4557.372123
-21.11269,1095,4621.533223
-6.21906,1110,4640.473151
-12.058675,1470,4664.847457
-7.738188,1469,4689.589793
-9.242575,1470,4762.185638
-7.821251,1470,4787.170493
-7.719589,1470,4812.239399
-8.115778,1110,4830.60428
-15.839594,1469,4898.364803
-13.999487,1467,4922.756645
-26.828695,1470,4947.8252
-430.609466,1470,5021.052388
-82.363152,1470,5045.766968
-5.647097,1095,5063.313057
-5.498719,1149,5082.950184
-6.891765,1470,5153.39377
-10.696438,1470,5178.026955
-7.887989,1470,5202.852763
-19.383688,1470,5278.70554
-8.150938,1467,5303.586271
-247.202144,1470,5328.534716
-450.555916,1470,5353.153932
-1151.486062,1470,5425.628345
-434.783561,1470,5450.473745
-73.989421,1095,5468.876107
-7.679734,1470,5542.175657
-11.444856,1470,5566.739469
-8.183102,1470,5591.620412
-10.54243,1470,5616.614729
-8.14805,1470,5684.217877
-8.026514,1470,5709.26199
-9.211121,1470,5733.984006
-4.976177,1095,5752.446282
-56.977808,1470,5828.308428
-88.692941,1470,5853.212147
-8.536409,1470,5877.915418
-99.749858,1470,5948.483533
-91.90765,1470,5973.377337
-4.402411,1470,5998.124982
-11.009768,1470,6069.657328
-7.344033,1470,6094.239318
-5.26477,1095,6112.64833
-13.190054,1470,6137.534778
-7.573154,1463,6210.510572
-8.14805,1470,6235.349859
-7.938803,1470,6260.234
-8.761731,1470,6333.211257
-10.335976,1470,6358.115211
-157.939186,1470,6383.244607
-7.326997,1470,6407.824693
-7.295419,1110,6473.238334
-8.582178,1470,6498.24224
-11.093934,1470,6522.944565
-7.24643,1470,6594.080697
-10.334802,1470,6618.795369
-5.939352,1095,6637.639082
-9.548436,1470,6662.590892
-7.328473,1470,6738.125706
-7.889445,1469,6762.812146
-7.628284,1110,6781.067166
-9.306062,1470,6805.524748
-29.193654,1470,6880.921504
-668.535937,1110,6899.779524
-7.316425,1470,6924.692351
-8.166678,1530,6998.82451
-7.679734,1470,7024.175177
-260.804041,1470,7048.665288
-8.184968,1470,7073.205187
-13.66627,1470,7146.740952
-6.005513,1110,7165.12391
-7.738188,1469,7189.989462
-15.201457,1470,7266.553298
-7.638658,1470,7291.47076
-422.798603,1470,7316.192265
-12.953099,1469,7341.059007
-7.870227,1470,7414.401511
-16.342023,1470,7439.585185
-7.938803,1470,7464.296972
-7.389654,1470,7537.69345
-8.183102,1470,7562.715569
-9.243293,1095,7581.088878
-386.994056,1470,7605.994869
-9.224686,1470,7677.119948
-58.583633,1470,7702.516504
-7.504421,1470,7728.267848
-163.767626,1469,7804.240923
-7.179992,1470,7829.272341
-19.86789,1470,7854.110498
-13.109043,1470,7879.094302
-444.946905,1470,7953.143881
-7.145047,1470,7978.31799
-10.913715,1470,8003.549744
-69.767859,1470,8079.965914
-11.093934,1470,8104.848366
-10.407002,1470,8129.896943
-10.208357,1470,8203.893391
-15.916564,1470,8228.462426
-9.243293,1095,8246.990943
-8.662203,1470,8271.919988
-34.203241,1470,8347.723895
-7.588306,1470,8372.453729
-7.257929,1470,8397.375613
-12.414392,1470,8421.894788
-6.005513,1110,8486.523585
-91.771846,1470,8511.23091
-7.628284,1110,8530.100528
-224.620274,1463,8602.918135
-114.537673,1470,8627.818056
-10.749024,1470,8652.51404
-22.9755,1470,8677.801013
-9.930369,1470,8751.404123
-18.815099,1110,8769.536798
-10.645454,1470,8794.31028
-7.638658,1470,8867.639776
-8.038336,1110,8886.047512
-10.22321,1470,8911.177439
-8.183102,1470,8936.227668
-145.428073,1470,9007.526168
-7.573154,1463,9032.523513
-8.115778,1110,9051.343389
-488.036737,1470,9075.686233
-11.259584,1470,9145.556017
-91.660288,1470,9170.395697
-5.509925,1149,9189.625726
-5.759384,1095,9208.47389
87.885249,1470,9284.116478
-11.093934,1470,9308.638068
-5.571081,1095,9326.73082
-10.26657,1470,9397.550364
-7.889445,1469,9421.876844
-5.650055,1095,9440.15222
-7.543139,1470,9464.916999
-7.588306,1470,9538.032405
-277.907012,1470,9563.144947
-10.696438,1470,9588.26253
-7.883958,1470,9661.222341
-7.968639,1470,9685.972478
-7.479737,1470,9710.521295
-19.945364,1470,9735.012181
-8.951271,1470,9808.834339
-150.758759,1470,9833.550023
-18.457746,1470,9857.940511
-9.548436,1470,9931.527506
-5.324369,1110,9949.97267
-107.721288,1470,9974.601384
-10.749024,1470,9999.55793
-7.257929,1470,10072.464327
-14.596928,1470,10097.108068
-12.622183,1470,10122.003358
-5.873103,1095,10192.036502
-5.913,1095,10209.824376
-6.261954,1110,10228.503017
-7.543139,1470,10253.438527
-14.824639,1470,10324.099471
-10.564757,1470,10348.741037
-10.308997,1470,10373.554135
-15.28326,1470,10398.509932
-7.806715,1470,10471.919584
-7.883958,1470,10496.949036
-49.127215,1095,10515.399126
-17.051853,1470,10589.09387
-7.055262,1470,10614.107617
-7.628284,1110,10632.704736
-8.849705,1470,10657.535586
-5.913,1095,10726.726159
-15.258059,1470,10751.400352
-10.618402,1470,10776.076748
-10.696438,1470,10800.98483
-264.637682,1470,10868.741099
-7.965095,1470,10893.328254
-117.538564,1470,10918.380213
