#{"t_start": 1768980474.7327898, "env_id": "None"}
r,l,t
-3612.733822,345,13.487086
-5704.360182,345,20.358182
-1184.961334,345,27.278648
-1083.173974,345,34.270134
-535.165184,345,41.785268
-2146.548253,345,51.117222
-1553.453615,345,58.118268
-3337.867663,342,65.109168
-758.023462,345,72.529575
-1432.96719,345,79.415204
-1180.076976,345,86.42516
-656.105457,345,95.1668
-371.870929,345,102.361616
-1398.466102,345,109.169415
-3196.234623,345,140.908719
-714.374814,345,148.27848
-927.49276,345,155.738401
-921.896592,345,164.796063
-1118.075311,345,171.927176
-1048.003929,345,178.870225
-4448.882749,345,186.165645
-1371.992547,345,193.264381
-976.810075,345,200.247805
-3165.470035,345,208.976569
-1992.284843,345,216.263131
-2786.847472,345,223.589541
-1454.410711,345,230.771258
-1206.399823,345,237.796383
-1406.266368,345,269.577271
-2255.367821,345,278.623066
0.0,1,278.711211
-1940.801128,345,285.703256
-534.476083,345,292.63783
-677.93469,345,299.646125
-3305.56902,345,306.925133
-899.23927,345,314.019786
-1021.334772,345,322.810195
-778.295774,345,329.964236
-696.331471,345,337.871196
-1270.677029,345,345.012994
-904.837581,345,352.251222
-932.330815,345,359.309193
-1138.066569,345,368.478372
-553.782917,345,375.551231
-1957.526806,345,407.220125
-1586.945464,345,414.106117
-4358.739407,345,421.128591
-253.2997,345,428.456857
-547.248997,345,437.081793
-1330.00115,345,444.14037
-2140.032746,345,451.162403
-1191.646995,345,458.690522
-3434.147274,345,466.312789
-923.317931,345,473.725011
-1576.32612,345,483.103375
-1694.510189,345,491.893762
-1029.292416,345,499.343791
-225.180502,345,506.7437
-445.886534,345,538.789974
-2421.912369,345,545.969614
-191.328687,345,554.736004
-91.33011,345,561.745108
-345.253318,345,568.8159
-1690.785383,345,576.007904
-230.728592,345,584.792705
-801.986055,345,593.201357
-972.338818,345,601.978694
-1287.097651,345,609.480108
-90.240587,345,616.560081
-668.634626,345,623.735696
-218.97834,345,630.996291
-4068.178736,345,638.59956
-358.052798,345,647.362696
-1195.057079,345,679.099046
-2693.690437,345,686.227584
-497.671581,345,693.204937
-887.756093,345,700.963053
-1221.293263,345,707.973107
-336.852964,345,716.773907
-188.980082,345,723.755529
-363.264315,345,731.092741
-759.6374,345,738.007859
-317.617462,345,745.069632
-443.698261,345,752.457763
-126.35347,345,761.5488
-113.615369,345,768.496119
-1144.324029,345,775.565676
-373.06853,345,807.745971
-511.927138,345,814.883525
-276.347607,345,822.249995
-1592.892656,345,831.051688
-39.46399,345,838.028516
-686.002061,345,845.160057
-426.060639,345,852.555139
-871.35158,345,859.595314
-1109.49791,345,868.221222
-98.533785,345,875.241179
-426.10796,345,882.890415
-163.115033,345,889.900354
-38.193312,345,897.133875
-144.775573,345,904.183745
-2069.026742,345,913.32013
-1529.314627,345,944.986009
-112.144609,345,952.029181
-601.570937,345,959.055051
-318.070059,345,966.175187
-448.629632,345,973.324468
-181.517223,345,982.08654
-218.139588,345,989.150215
-507.757225,345,996.295129
-143.076435,345,1003.361983
-555.78908,345,1010.396141
-98.770927,345,1017.4788
-237.657453,345,1026.405108
-350.192204,345,1033.63359
-617.2299,345,1040.701406
-81.800283,345,1072.854794
-9.613153,345,1080.204226
-4217.530955,345,1087.56772
-1725.804432,345,1096.38353
-2134.780405,345,1103.348161
-26.677313,345,1110.598949
-770.861958,345,1117.893669
