#{"t_start": 1773824443.6523845, "env_id": "None"}
r,l,t
-2716.798903,1470,26.043279
-3682.615966,1470,46.204777
-3480.140639,1470,66.879066
-3610.604833,1470,141.327357
-3250.714511,1470,161.849204
-3212.591826,1470,181.577768
-1025.392263,1095,200.348536
-3288.764493,1470,279.504118
-1624.947509,1470,300.28525
-1278.487711,1470,320.343985
-3044.104791,1470,397.975495
-1956.568861,1470,421.001308
-2729.375245,1470,441.106592
-3581.344754,1470,513.98873
-545.266256,1095,529.03043
-996.64814,1470,549.741584
-2043.031259,1470,570.76789
-1606.459897,1110,638.824936
-1453.030924,1110,654.595778
-472.587949,780,666.791378
-502.508959,1470,689.091883
-549.018984,1470,768.061673
-791.181715,1095,785.014379
-146.310101,1470,807.030971
-694.697631,1470,834.054742
-330.11594,1095,923.91282
-1701.77432,1470,946.410251
-45.271636,720,957.557944
-1845.638952,1470,979.014702
-1044.01949,1470,1061.300986
-1380.696942,1470,1082.742709
-663.383224,1470,1105.846172
-668.047359,1095,1121.771124
176.025034,1470,1199.121672
-580.59559,1470,1219.448519
-1713.476926,1470,1239.740567
-159.217163,1470,1316.199286
-813.69073,1470,1336.589779
297.733273,1470,1358.80633
-349.835068,1470,1380.088696
98.283968,1470,1457.57331
-675.80854,1470,1479.260294
-392.17514,1470,1501.367189
-747.801009,1470,1580.581365
-625.12554,1470,1602.036432
435.91621,1470,1622.417044
-128.069126,1095,1637.788489
-173.245952,1110,1703.137478
-701.340016,1470,1724.002252
-399.734786,1095,1739.290483
-370.167658,1470,1760.008051
-410.285547,1095,1834.824965
-513.928896,1470,1855.49146
-7.069902,1470,1876.328387
-1089.050667,1470,1957.796697
-557.323607,1470,1978.850996
-13.528749,1470,1999.688387
-714.040565,1470,2020.148501
-490.987295,1470,2093.865042
136.517469,1470,2115.285952
-582.145614,1470,2135.847215
75.272168,1470,2214.946549
-726.421643,1470,2236.078908
-73.98598,1470,2257.080026
-177.610111,1470,2335.44131
-586.434568,1470,2356.577901
