month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,9911.74,2204.93,7935,14544.012706952935,430.95,68.15
2025-02,-598.78,5611.22,6900,11157.97556006387,-29.94,-5.37
2025-03,1513.22,4873.07,6533,1000000.0,79.64,0.15
2025-04,-15942.59,6534.5,6550,1000000.0,-839.08,-1.59
2025-05,8360.58,6432.39,7245,13548.15332017156,398.12,61.71
2025-06,-11508.03,9020.59,7245,1000000.0,-548.0,-1.15
2025-07,-2610.67,4933.26,6555,1000000.0,-137.4,-0.26
