#{"t_start": 1773914968.7743893, "env_id": "None"}
r,l,t
-2457.899072,1110,28.835804
-3327.928324,1470,50.387011
-3395.493843,1470,71.818353
-3500.300647,1470,144.390314
-3386.748897,1470,167.668996
-931.680794,1095,183.899189
-3272.44466,1470,205.946331
-1956.442454,1470,275.659713
-3164.417598,1470,297.948293
-1369.563015,1095,314.7648
-3577.538824,1470,385.336444
-2552.12424,1470,408.151593
-2718.182579,1470,431.063349
-3273.533434,1470,453.800669
-2442.964185,1470,521.196766
-2962.090347,1470,544.01894
-1192.15057,1095,560.99169
-666.30428,720,572.107939
-3153.276485,1470,642.44891
-2828.767967,1470,665.244404
-2421.621337,1470,687.824746
-2999.000168,1470,755.881395
-2039.557182,1470,778.628387
-2727.156698,1470,801.207192
-1332.115189,1470,824.181264
-849.238645,1095,888.873291
-2318.235708,1470,911.173697
-1959.988826,1470,933.993253
-1821.149811,1470,1004.623362
-2500.710471,1470,1027.435869
-470.880821,1470,1049.981165
-481.624077,1095,1067.191647
-763.481561,1470,1134.702319
-1846.887277,1470,1157.558692
-559.558593,1095,1174.964878
-402.7489,1470,1198.07408
-592.33409,1110,1264.851903
-1234.38957,1470,1287.711901
-1210.863706,1470,1310.724992
-745.698492,1470,1381.234211
-760.90596,1470,1404.537231
-181.650364,1470,1427.990923
-801.541162,1470,1450.991315
-1316.442327,1470,1524.122743
-648.529621,1470,1548.142831
-542.168008,1470,1571.859851
-594.151911,1470,1640.612686
-1197.136154,1470,1663.792526
-583.370374,1470,1687.212687
-809.395727,1469,1710.8243
-964.495447,1467,1781.542059
-357.73834,1110,1799.117484
-441.825875,1470,1822.715163
-117.123174,1470,1891.229987
-693.111012,1470,1914.266468
-452.674682,1470,1937.742529
-692.809646,1469,1961.27809
-120.928098,1110,2029.702029
-741.288959,1470,2053.185792
-176.592458,1470,2076.702917
-233.206284,1470,2139.921615
-199.795817,1095,2157.5222
-81.215732,1110,2175.564884
-165.958586,1470,2199.482619
-424.549194,1470,2270.337693
-296.619253,1470,2293.325818
-36.127328,1470,2316.626996
-247.883297,1470,2341.161927
165.518434,1095,2406.486656
-45.505179,1095,2423.545785
-719.62658,1470,2447.066775
-159.853713,1470,2471.744982
-252.104426,1470,2543.409582
-91.770358,1470,2568.763347
414.5396,1470,2594.317844
-157.546667,1470,2666.742697
-151.665566,1470,2690.487442
-529.283963,1470,2714.065884
-487.778516,1470,2783.930729
-446.43488,1470,2806.95148
-139.732907,1095,2824.22005
-9.496312,780,2837.091497
-476.244454,1470,2908.269095
-372.790582,1470,2931.500982
207.77064,1470,2955.341123
-53.797566,1110,2973.097295
-45.713158,1110,3038.021869
-74.45256,1470,3061.09434
-498.571019,1470,3084.723462
196.610234,1095,3101.817187
43.522762,1470,3174.910775
10.88114,1470,3198.532938
-335.028976,1149,3216.779137
-5.61198,1470,3240.741696
67.441701,1110,3313.052703
-8.944133,1095,3331.840515
-4.9343,1470,3358.156784
-338.496878,1470,3381.610991
-43.27118,1470,3452.999874
-19.523315,1470,3476.883834
-167.317829,1470,3500.481012
-516.663253,1470,3575.34041
-60.414643,1110,3592.788861
-11.139834,1095,3610.097182
271.090259,1470,3634.310076
-154.551672,1470,3709.247365
209.586078,1470,3732.64782
293.237743,1470,3756.343699
-657.329668,1470,3830.714493
-633.626017,1470,3854.162702
138.391198,1470,3878.417684
-300.438263,1470,3902.250132
-102.668586,1470,3976.092414
-302.952781,1110,3993.666882
-474.664259,1470,4017.537452
-288.389537,1470,4092.387383
-43.599775,1470,4115.749002
137.676613,1470,4139.317481
461.539223,1470,4163.388037
-695.474188,1470,4233.840363
95.263403,1470,4257.35381
212.560901,1470,4280.627586
-238.626483,1470,4351.903167
323.404226,1095,4369.240623
314.217674,1470,4393.537375
266.638394,1470,4417.385578
-773.517147,1470,4494.562429
146.86409,780,4506.999458
-9.47936,1095,4523.937015
-646.069524,1470,4547.075886
-160.272171,1470,4622.948804
88.393933,1470,4646.344408
-138.031041,1470,4669.402997
-52.939259,1110,4686.824461
-32.966005,1470,4757.395745
100.387326,720,4768.96049
-977.632322,1470,4792.24955
57.212251,1470,4862.545566
-648.949385,1470,4885.638682
248.937468,1470,4908.475192
37.344536,1470,4931.813668
213.038207,1095,4996.905126
-121.015352,1470,5020.131598
209.988079,1470,5043.190367
-240.692938,1470,5066.490557
-212.716564,1470,5136.614489
-46.657852,1110,5153.891415
134.463174,1470,5177.235175
393.12813,1470,5247.636597
-3.893084,1470,5283.247801
409.500788,1470,5306.353184
725.347562,1470,5341.345646
78.149182,1470,5415.002444
65.602364,1470,5438.174972
183.450749,1470,5474.612601
63.889098,720,5530.898203
88.210768,1470,5553.907265
135.771727,1470,5577.348051
